# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2812
# Selected columns: 25 (all)
# Timestamp: Fri, 07-Dec-2018 21:36:37
Gene ID	Gene Name	3-fold embryo Ce, hermaphrodite, organism	4-cell embryo Ce, hermaphrodite, organism	L1 larva Ce, hermaphrodite, NSM	L1 larva Ce, hermaphrodite, neuron	L1 larva Ce, hermaphrodite, organism	L2 larva Ce, hermaphrodite, motor neuron	L2 larva Ce, hermaphrodite, organism	L2d-dauer molt Ce, hermaphrodite, organism	L3 larva Ce, hermaphrodite, organism	L4 larva Ce, hermaphrodite, organism	L4 larva Ce, male, organism	adult Ce, hermaphrodite, gonad	adult Ce, hermaphrodite, organism	dauer larva Ce, hermaphrodite, organism	elongating embryo Ce, hermaphrodite, organism	embryo Ce, hermaphrodite, somatic cell	embryo Ce, male, organism	enclosing embryo Ce, hermaphrodite, organism	fully-elongated embryo Ce, hermaphrodite, organism	fully-elongated embryo Ce, hermaphrodite, pharyngeal muscle cell	gastrulating embryo Ce, hermaphrodite, organism	late cleavage stage embryo Ce, hermaphrodite, organism	newly molted young adult hermaphrodite Ce, hermaphrodite, organism	post dauer stage Ce, hermaphrodite, organism	proliferating embryo Ce, hermaphrodite, organism
WBGene00006726	ubl-5	128.0	42.0		2.0	0.5		93.0	106.0	141.0	75.0	208.0	38.0	146.0	50.0	210.0	2.0	400.0	2759.0	122.0	67.0	726.0	262.0	89.0	76.0	319.0
WBGene00006727	ubq-1	744.0	371.0	173.0	233.0	87.0	434.0	300.0	321.0	216.0	105.0	258.0	1077.0	664.0	309.0	1010.0	268.0	766.0	248.0	579.0	575.0	725.0	1230.0	317.0	285.0	975.0
WBGene00006728	ubq-2	2528.0	133.0	245.0	448.0	463.0	537.0	4196.0	1819.0	4095.0	3219.0	2684.0	11015.0	3200.0	3600.0	2022.0	1154.0	2705.0	2307.0	1842.0	1408.0	1915.0	1966.0	3236.0	4748.0	1342.0
WBGene00006729	ucp-4	7.0	10.0	9.0	11.0	9.0	4.0	6.0	7.0	11.0	6.0	4.0	12.0	16.0	7.0	8.0	15.0	15.0	5.0	9.0	5.0	9.0	9.0	16.0	9.0	11.0
WBGene00006730	uev-1	174.0	74.0	30.0	29.0	54.0	36.0	245.0	156.0	148.0	89.0	101.0	353.0	186.0	260.0	134.0	39.0	167.0	128.0	140.0	72.0	194.0	115.0	133.0	159.0	312.0
WBGene00006731	uev-2	0.5		0.1	26.0	50.0	0.2	4.0	0.4	0.2	0.2	3.0		0.5	0.3	0.1	5.0	0.9		3.0	2.0		0.2	0.2	0.5	0.4
WBGene00006732	uev-3	20.0	7.0	4.0	8.0	11.0	5.0	8.0	19.0	8.0	7.0	6.0	16.0	17.0	26.0	30.0	4.0	28.0	7.0	19.0	19.0	24.0	24.0	17.0	22.0	19.0
WBGene00006733	ufd-1	45.0	50.0	22.0	13.0	17.0	85.0	40.0	41.0	44.0	22.0	27.0	86.0	91.0	41.0	44.0	36.0	75.0	39.0	33.0	22.0	62.0	46.0	65.0	50.0	102.0
WBGene00006734	ufd-2	29.0	13.0	7.0	13.0	15.0	66.0	31.0	29.0	35.0	11.0	21.0	90.0	52.0	25.0	42.0	55.0	53.0	14.0	23.0	24.0	76.0	48.0	46.0	29.0	63.0
WBGene00006735	ula-1	21.0	13.0	2.0	6.0	8.0	6.0	27.0	23.0	29.0	11.0	15.0	52.0	33.0	25.0	24.0	9.0	36.0	19.0	17.0	16.0	52.0	31.0	30.0	31.0	42.0
WBGene00006736	ulp-1	23.0	19.0	3.0	8.0	12.0	20.0	21.0	17.0	19.0	4.0	10.0	97.0	41.0	18.0	34.0	20.0	42.0	4.0	22.0	16.0	23.0	29.0	37.0	21.0	34.0
WBGene00006737	ulp-2	34.0	29.0	19.0	8.0	15.0	25.0	17.0	11.0	24.0	5.0	5.0	49.0	53.0	13.0	58.0	50.0	57.0	10.0	26.0	18.0	40.0	59.0	22.0	18.0	71.0
WBGene00006738	ulp-3	11.0	7.0	0.9	4.0	6.0	1.0	10.0	15.0	8.0	5.0	3.0	14.0	18.0	20.0	9.0	11.0	22.0	39.0	8.0	11.0	24.0	9.0	13.0	28.0	24.0
WBGene00006739	ulp-4	95.0	66.0	74.0	77.0	387.0	32.0	45.0	75.0	27.0	12.0	44.0	86.0	59.0	110.0	104.0	106.0	71.0	9.0	98.0	106.0	51.0	94.0	29.0	131.0	84.0
WBGene00006740	ulp-5	2.0	8.0		2.0	0.6	0.1	2.0	5.0	8.0	4.0	6.0	36.0	11.0	11.0	2.0	3.0	5.0	0.9	2.0	1.0	2.0	1.0	14.0	8.0	7.0
WBGene00006741	unc-1	237.0	0.1	229.0	272.0	222.0	418.0	75.0	119.0	30.0	9.0	20.0		4.0	56.0	36.0	30.0	60.0	0.1	219.0	61.0	0.2	7.0	6.0	64.0	10.0
WBGene00006742	unc-2	27.0	0.9	85.0	126.0	54.0	105.0	17.0	19.0	6.0	1.0	4.0	0.5	3.0	18.0	15.0	5.0	14.0	0.3	50.0	17.0	1.0	9.0	1.0	12.0	3.0
WBGene00006743	unc-3	75.0		1.0	21.0	25.0	273.0	10.0	8.0	1.0	0.3	1.0		0.4	11.0	43.0	18.0	21.0	2.0	48.0	19.0	2.0	23.0	0.3	10.0	4.0
WBGene00006744	unc-4	14.0		0.5	13.0	7.0	6242.0	4.0	6.0	2.0	0.7	2.0	0.4	0.3	4.0	0.8	0.5	2.0		15.0	4.0	0.1		0.6	5.0	0.2
WBGene00006745	unc-5	79.0	2.0	6.0	28.0	30.0	59.0	13.0	15.0	15.0	5.0	10.0	1.0	5.0	9.0	75.0	85.0	40.0	14.0	60.0	30.0	21.0	68.0	3.0	9.0	23.0
WBGene00006746	unc-6	119.0	1.0	5.0	44.0	29.0	63.0	21.0	14.0	14.0	4.0	6.0		3.0	10.0	80.0	28.0	56.0	8.0	93.0	33.0	17.0	53.0	2.0	14.0	22.0
WBGene00006747	unc-7	47.0	0.2	37.0	170.0	72.0	166.0	15.0	27.0	7.0	2.0	15.0		0.9	17.0	11.0	10.0	13.0	0.2	74.0	23.0	0.1	4.0	1.0	16.0	4.0
WBGene00006748	unc-8	7.0			6.0	7.0	6.0	4.0	2.0	1.0	0.4	10.0		0.1	1.0	0.6	0.1	2.0	0.2	16.0	2.0		0.4	0.4	2.0	0.6
WBGene00006749	unc-9	75.0		97.0	140.0	88.0	486.0	31.0	52.0	22.0	5.0	13.0	0.1	3.0	23.0	11.0	22.0	29.0	0.1	115.0	26.0	0.6	3.0	5.0	31.0	2.0
WBGene00006750	unc-10	21.0	0.3	19.0	79.0	24.0	34.0	15.0	13.0	6.0	1.0	2.0	0.5	2.0	11.0	6.0	4.0	8.0	0.3	27.0	12.0	0.9	4.0	1.0	10.0	2.0
WBGene00006751	unc-11	109.0	14.0	359.0	176.0	99.0	337.0	36.0	38.0	31.0	11.0	15.0	21.0	58.0	29.0	64.0	124.0	58.0	3.0	117.0	65.0	11.0	33.0	23.0	25.0	27.0
WBGene00006752	unc-13	24.0	0.7	99.0	118.0	25.0	83.0	31.0	35.0	14.0	3.0	8.0	0.2	3.0	28.0	5.0	8.0	14.0	0.1	46.0	12.0	0.3	1.0	3.0	31.0	1.0
WBGene00006753	unc-14	221.0	6.0	311.0	177.0	335.0	153.0	96.0	125.0	47.0	11.0	32.0	7.0	23.0	95.0	98.0	128.0	43.0	3.0	203.0	99.0	8.0	42.0	12.0	93.0	25.0
WBGene00006754	unc-15	452.0	5.0	435.0	665.0	3473.0	397.0	729.0	854.0	915.0	101.0	270.0	17.0	386.0	246.0	186.0	83.0	223.0	2.0	693.0	61.0	3.0	56.0	140.0	180.0	72.0
WBGene00006755	unc-16	119.0	12.0	73.0	84.0	65.0	63.0	38.0	58.0	26.0	9.0	33.0	45.0	37.0	47.0	94.0	69.0	62.0	4.0	132.0	57.0	9.0	60.0	26.0	37.0	33.0
WBGene00006756	unc-17	9.0	0.3	21.0	138.0	28.0	174.0	14.0	19.0	6.0	2.0	6.0	0.1	2.0	11.0	0.8	0.5	9.0	0.1	25.0	9.0	0.3	0.3	1.0	14.0	2.0
WBGene00006757	unc-18	115.0	7.0	186.0	276.0	131.0	537.0	69.0	68.0	44.0	12.0	28.0	8.0	27.0	46.0	79.0	29.0	50.0	4.0	149.0	130.0	13.0	53.0	21.0	54.0	36.0
WBGene00006759	unc-22	8.0	1.0	10.0	41.0	23.0	19.0	54.0	52.0	44.0	9.0	12.0	3.0	21.0	10.0	4.0	2.0	12.0	0.2	49.0	11.0	0.2	2.0	10.0	7.0	1.0
WBGene00006760	unc-23	80.0	0.1	8.0	22.0	34.0	32.0	55.0	105.0	62.0	20.0	59.0	2.0	13.0	77.0	49.0	34.0	65.0	0.1	48.0	15.0	0.6	11.0	17.0	57.0	11.0
WBGene00006761	unc-24	63.0		3.0	7.0	6.0	5.0	8.0	11.0	4.0	1.0	4.0	0.4	0.5	10.0	23.0	8.0	17.0	0.9	40.0	14.0	0.9	8.0	1.0	10.0	4.0
WBGene00006762	unc-25	18.0	0.2	12.0	104.0	36.0	21.0	39.0	41.0	20.0	5.0	13.0	0.3	5.0	21.0	2.0	3.0	10.0	0.3	44.0	12.0	0.6	0.9	6.0	26.0	0.7
WBGene00006763	unc-26	30.0	9.0	46.0	27.0	17.0	44.0	14.0	15.0	10.0	4.0	6.0	25.0	18.0	11.0	26.0	33.0	24.0	1.0	38.0	14.0	8.0	20.0	10.0	11.0	14.0
WBGene00006764	unc-27	217.0	5.0	234.0	807.0	1269.0	1179.0	692.0	1352.0	1233.0	334.0	324.0	34.0	514.0	273.0	112.0	88.0	88.0	8.0	309.0	26.0	9.0	59.0	408.0	299.0	42.0
WBGene00006765	unc-29	31.0	0.3		7.0	10.0	8.0	10.0	12.0	6.0	2.0	4.0		0.5	7.0	29.0	5.0	11.0	3.0	27.0	6.0	2.0	16.0	2.0	8.0	3.0
WBGene00006766	unc-30	36.0		2.0	43.0	20.0	11.0	6.0	6.0	2.0	0.8	1.0		0.7	9.0	21.0	201.0	19.0	2.0	25.0	19.0	12.0	12.0	0.3	9.0	10.0
WBGene00006767	unc-31	12.0	1.0	37.0	59.0	17.0	83.0	11.0	15.0	3.0	0.9	4.0	0.6	1.0	13.0	4.0	5.0	5.0	0.4	21.0	8.0	2.0	2.0	1.0	14.0	4.0
WBGene00006768	unc-32	144.0	24.0	194.0	110.0	90.0	116.0	116.0	108.0	76.0	27.0	77.0	62.0	74.0	93.0	122.0	57.0	105.0	10.0	150.0	83.0	69.0	125.0	45.0	112.0	92.0
WBGene00006769	unc-33	72.0	12.0	77.0	80.0	30.0	148.0	19.0	13.0	8.0	6.0	10.0	19.0	11.0	8.0	53.0	123.0	64.0	19.0	49.0	47.0	28.0	39.0	6.0	12.0	27.0
WBGene00006770	unc-34	121.0	28.0	63.0	79.0	70.0	88.0	21.0	18.0	10.0	4.0	9.0	23.0	39.0	12.0	91.0	172.0	65.0	6.0	117.0	102.0	31.0	74.0	7.0	15.0	59.0
WBGene00006771	tln-1	145.0	7.0	44.0	30.0	29.0	49.0	46.0	30.0	48.0	15.0	16.0	6.0	29.0	15.0	132.0	132.0	168.0	6.0	159.0	83.0	16.0	101.0	10.0	18.0	82.0
WBGene00006772	unc-36	56.0	0.5	2.0	5.0	7.0	3.0	15.0	22.0	12.0	2.0	5.0	0.7	0.9	15.0	19.0	0.8	10.0	0.3	54.0	15.0	0.4	5.0	2.0	15.0	2.0
WBGene00006773	unc-37	173.0	28.0	60.0	26.0	43.0	49.0	39.0	30.0	29.0	7.0	9.0	64.0	73.0	26.0	275.0	137.0	181.0	94.0	119.0	137.0	319.0	289.0	29.0	30.0	269.0
WBGene00006774	unc-38	32.0		10.0	7.0	8.0	6.0	8.0	13.0	5.0	1.0	3.0	0.5	0.5	11.0	11.0	7.0	8.0		29.0	6.0	0.9	4.0	1.0	12.0	2.0
WBGene00006775	unc-39	18.0			0.6	1.0		1.0	0.8	0.3	0.2	0.2		3.0	1.0	49.0	311.0	39.0	51.0	12.0	11.0	34.0	69.0		1.0	14.0
WBGene00006776	unc-40	130.0	45.0	47.0	39.0	31.0	41.0	44.0	22.0	25.0	4.0	8.0	91.0	70.0	19.0	104.0	96.0	95.0	3.0	120.0	47.0	37.0	104.0	32.0	21.0	72.0
WBGene00006777	unc-41	47.0	0.2	50.0	50.0	8.0	68.0	19.0	13.0	6.0	1.0	3.0	0.4	1.0	10.0	8.0	2.0	12.0	0.2	62.0	14.0	0.3	2.0	1.0	10.0	2.0
WBGene00006778	unc-42	161.0	0.3	13.0	121.0	51.0	37.0	9.0	14.0	2.0	0.7	1.0		0.5	11.0	126.0	46.0	40.0	5.0	80.0	42.0	6.0	54.0	0.4	13.0	9.0
WBGene00006779	unc-43	229.0	5.0	159.0	227.0	547.0	223.0	101.0	127.0	70.0	18.0	34.0	4.0	21.0	103.0	90.0	113.0	64.0	1.0	212.0	140.0	3.0	27.0	21.0	107.0	15.0
WBGene00006780	unc-44	118.0	3.0	118.0	181.0	54.0	106.0	58.0	49.0	34.0	9.0	14.0	2.0	14.0	36.0	121.0	60.0	80.0	3.0	124.0	120.0	9.0	82.0	9.0	28.0	52.0
WBGene00006781	unc-45	77.0	12.0	0.4	2.0	4.0	4.0	31.0	12.0	23.0	10.0	15.0	31.0	20.0	11.0	53.0	18.0	58.0	2.0	93.0	63.0	14.0	35.0	15.0	16.0	33.0
WBGene00006782	unc-46	5.0			6.0	4.0	0.9	4.0	4.0	2.0	0.8	3.0		0.1	3.0			2.0		9.0	2.0			0.3	3.0	0.1
WBGene00006783	unc-47	12.0		7.0	13.0	8.0	4.0	5.0	6.0	2.0	0.7	2.0		0.2	5.0	4.0	2.0	4.0	0.1	15.0	5.0		2.0	0.6	5.0	0.6
WBGene00006784	unc-49	24.0	0.7	17.0	75.0	56.0	56.0	21.0	14.0	17.0	4.0	5.0	0.3	3.0	11.0	8.0	7.0	11.0	0.3	35.0	6.0	0.9	5.0	2.0	15.0	2.0
WBGene00006785	unc-50	99.0	46.0	9.0	13.0	13.0	17.0	30.0	27.0	36.0	20.0	19.0	36.0	62.0	22.0	119.0	54.0	97.0	43.0	66.0	54.0	83.0	88.0	26.0	38.0	93.0
WBGene00006786	unc-51	116.0	11.0	554.0	331.0	208.0	229.0	28.0	54.0	23.0	7.0	9.0	2.0	37.0	44.0	103.0	301.0	98.0	11.0	103.0	84.0	41.0	83.0	6.0	48.0	63.0
WBGene00006787	unc-52	241.0	2.0	3.0	7.0	35.0	100.0	143.0	51.0	111.0	19.0	41.0	2.0	45.0	23.0	126.0	18.0	110.0	0.8	268.0	74.0	2.0	35.0	27.0	16.0	49.0
WBGene00006788	unc-53	169.0	0.6	115.0	78.0	56.0	183.0	34.0	32.0	17.0	5.0	11.0	0.9	7.0	15.0	77.0	46.0	46.0	1.0	111.0	57.0	2.0	30.0	3.0	16.0	15.0
WBGene00006789	unc-54	286.0	6.0	3012.0	1240.0	1750.0	1095.0	846.0	1428.0	997.0	95.0	258.0	30.0	442.0	259.0	125.0	323.0	172.0	2.0	609.0	43.0	3.0	41.0	170.0	211.0	83.0
WBGene00006790	unc-55	0.9	0.2	0.1	1.0	2.0	44.0	5.0	4.0	0.5	0.2	14.0	0.4	0.1	5.0		0.6	0.1	0.2	1.0	4.0			0.3	5.0	0.2
WBGene00006791	unc-57	62.0	49.0	323.0	218.0	195.0	212.0	54.0	59.0	49.0	15.0	25.0	88.0	87.0	48.0	32.0	67.0	48.0	2.0	85.0	42.0	15.0	17.0	54.0	47.0	56.0
WBGene00006792	unc-58	7.0	0.2	1.0	16.0	21.0	110.0	13.0	11.0	6.0	2.0	3.0	0.4	1.0	5.0	1.0	1.0	3.0	0.1	15.0	2.0	0.3	0.8	2.0	10.0	0.5
WBGene00006793	unc-59	57.0	35.0	0.3	4.0	5.0	3.0	19.0	10.0	22.0	10.0	10.0	70.0	67.0	14.0	101.0	38.0	88.0	28.0	48.0	18.0	61.0	104.0	53.0	13.0	84.0
WBGene00006794	unc-60	809.0	146.0	179.0	198.0	233.0	824.0	260.0	201.0	284.0	106.0	110.0	97.0	229.0	136.0	734.0	655.0	349.0	305.0	473.0	555.0	271.0	920.0	139.0	165.0	238.0
WBGene00006795	unc-61	36.0	64.0	0.9	3.0	6.0	5.0	26.0	11.0	21.0	10.0	12.0	104.0	105.0	12.0	54.0	38.0	119.0	39.0	34.0	16.0	81.0	88.0	52.0	13.0	118.0
WBGene00006796	unc-62	135.0	7.0	18.0	49.0	76.0	126.0	34.0	45.0	28.0	7.0	11.0	5.0	23.0	29.0	129.0	128.0	111.0	17.0	109.0	27.0	46.0	121.0	10.0	30.0	58.0
WBGene00006797	unc-63	28.0	1.0	28.0	23.0	16.0	36.0	13.0	17.0	7.0	2.0	5.0	3.0	3.0	8.0	22.0	27.0	14.0	0.3	33.0	11.0	1.0	6.0	4.0	11.0	4.0
WBGene00006798	unc-64	94.0	2.0	138.0	275.0	85.0	333.0	80.0	80.0	43.0	17.0	45.0	3.0	18.0	49.0	93.0	23.0	59.0	16.0	112.0	59.0	30.0	50.0	18.0	55.0	15.0
WBGene00006801	unc-68	58.0	1.0	7.0	65.0	13.0	25.0	36.0	28.0	22.0	5.0	9.0	3.0	6.0	14.0	46.0	28.0	27.0	0.4	84.0	19.0	1.0	26.0	6.0	12.0	7.0
WBGene00006802	unc-69	141.0	21.0	90.0	61.0	33.0	116.0	28.0	26.0	19.0	11.0	8.0	15.0	36.0	17.0	104.0	84.0	70.0	34.0	94.0	63.0	47.0	75.0	21.0	21.0	53.0
WBGene00006803	unc-70	300.0	13.0	168.0	241.0	76.0	260.0	116.0	105.0	73.0	13.0	25.0	16.0	45.0	39.0	295.0	153.0	194.0	7.0	315.0	187.0	26.0	279.0	25.0	37.0	129.0
WBGene00006804	unc-71	80.0	88.0	3.0	20.0	11.0	33.0	10.0	6.0	6.0	2.0	3.0	104.0	75.0	4.0	63.0	56.0	94.0	14.0	59.0	26.0	45.0	69.0	30.0	5.0	82.0
WBGene00006805	unc-73	55.0	6.0	213.0	109.0	121.0	112.0	25.0	36.0	14.0	4.0	8.0	5.0	12.0	28.0	62.0	65.0	47.0	2.0	61.0	42.0	8.0	59.0	5.0	21.0	28.0
WBGene00006807	unc-75	79.0	0.2	262.0	165.0	51.0	291.0	14.0	12.0	3.0	1.0	2.0	0.3	2.0	10.0	74.0	66.0	49.0	2.0	75.0	49.0	5.0	45.0	0.8	14.0	22.0
WBGene00006808	unc-76	109.0	18.0	121.0	137.0	151.0	384.0	40.0	40.0	22.0	8.0	10.0	23.0	42.0	26.0	68.0	105.0	53.0	9.0	122.0	62.0	26.0	52.0	18.0	27.0	62.0
WBGene00006809	unc-77	3.0	0.1	18.0	23.0	8.0	50.0	6.0	5.0	2.0	0.4	1.0		0.4	4.0	0.6	0.4	1.0	0.2	9.0	2.0	0.7	0.5	0.7	4.0	0.9
WBGene00006810	unc-78	58.0	9.0	3.0	9.0	32.0	22.0	50.0	42.0	47.0	21.0	21.0	9.0	22.0	20.0	76.0	63.0	43.0	18.0	50.0	83.0	28.0	62.0	17.0	24.0	36.0
WBGene00006811	unc-79	13.0	0.7	74.0	91.0	33.0	120.0	13.0	11.0	4.0	1.0	16.0	0.2	1.0	8.0	2.0	4.0	7.0	0.1	24.0	8.0	0.6	1.0	0.7	7.0	2.0
WBGene00006812	unc-80	15.0	1.0	49.0	110.0	19.0	104.0	16.0	20.0	6.0	1.0	4.0	1.0	2.0	18.0	6.0	4.0	7.0	0.2	29.0	8.0	0.7	2.0	2.0	17.0	2.0
WBGene00006814	unc-82	56.0	0.2	0.7	19.0	17.0	17.0	28.0	27.0	21.0	6.0	12.0	0.9	4.0	27.0	48.0	50.0	22.0	0.7	64.0	13.0	1.0	26.0	5.0	28.0	9.0
WBGene00006815	unc-83	194.0	4.0	16.0	39.0	111.0	29.0	88.0	48.0	53.0	12.0	18.0	3.0	16.0	27.0	173.0	186.0	68.0	8.0	161.0	110.0	17.0	101.0	14.0	32.0	62.0
WBGene00006816	unc-84	65.0	18.0	16.0	21.0	61.0	13.0	30.0	19.0	19.0	5.0	5.0	6.0	39.0	24.0	154.0	145.0	86.0	19.0	41.0	52.0	64.0	179.0	8.0	19.0	78.0
WBGene00006817	unc-85	44.0	66.0	0.9	16.0	8.0	33.0	40.0	33.0	31.0	15.0	8.0	193.0	112.0	36.0	61.0	35.0	101.0	96.0	31.0	19.0	159.0	102.0	60.0	48.0	155.0
WBGene00006818	unc-86	92.0	0.2	252.0	64.0	29.0	4.0	15.0	13.0	3.0	1.0	16.0		0.8	11.0	85.0	22.0	29.0	2.0	65.0	34.0	5.0	38.0	0.6	11.0	10.0
WBGene00006819	unc-87	113.0	2.0	105.0	224.0	473.0	292.0	377.0	778.0	416.0	169.0	296.0	16.0	129.0	204.0	20.0	28.0	72.0	0.5	190.0	24.0	1.0	5.0	198.0	185.0	7.0
WBGene00006820	unc-89	26.0	1.0	6.0	30.0	18.0	14.0	42.0	33.0	31.0	6.0	7.0	1.0	11.0	11.0	20.0	11.0	18.0	0.3	59.0	15.0	0.3	8.0	7.0	7.0	4.0
WBGene00006822	unc-93	3.0		0.5	3.0	4.0	2.0	5.0	3.0	3.0	1.0	2.0	0.3	0.5	4.0	1.0	1.0	4.0	0.3	13.0	3.0	1.0	1.0	1.0	4.0	2.0
WBGene00006823	unc-94	134.0	14.0	78.0	82.0	305.0	29.0	45.0	75.0	41.0	9.0	17.0	20.0	30.0	63.0	92.0	133.0	47.0	4.0	144.0	90.0	21.0	64.0	20.0	56.0	42.0
WBGene00006824	unc-95	120.0	0.1	1.0	8.0	19.0	14.0	44.0	20.0	35.0	21.0	16.0	3.0	10.0	8.0	69.0	15.0	67.0	2.0	105.0	14.0	4.0	33.0	14.0	7.0	20.0
WBGene00006825	unc-96	82.0	0.2	33.0	41.0	261.0	25.0	47.0	24.0	31.0	10.0	10.0	2.0	6.0	21.0	43.0	7.0	26.0	1.0	89.0	81.0	2.0	20.0	8.0	20.0	5.0
WBGene00006826	unc-97	360.0	6.0	27.0	24.0	42.0	58.0	82.0	60.0	78.0	31.0	36.0	7.0	21.0	15.0	295.0	116.0	122.0	46.0	255.0	126.0	67.0	225.0	22.0	19.0	57.0
WBGene00006827	unc-98	60.0	0.2	0.9	12.0	21.0	8.0	29.0	32.0	25.0	12.0	22.0	2.0	7.0	29.0	54.0	9.0	27.0	9.0	53.0	8.0	9.0	27.0	11.0	42.0	6.0
WBGene00006829	unc-101	27.0	13.0	12.0	10.0	7.0	19.0	13.0	7.0	12.0	5.0	4.0	25.0	22.0	8.0	24.0	56.0	34.0	15.0	22.0	28.0	29.0	32.0	15.0	11.0	34.0
WBGene00006830	unc-103	9.0	1.0	95.0	68.0	35.0	9.0	10.0	16.0	3.0	2.0	5.0	0.4	1.0	12.0	6.0	16.0	8.0	0.2	21.0	6.0	2.0	5.0	1.0	12.0	3.0
WBGene00006831	unc-104	50.0	1.0	10.0	46.0	21.0	36.0	21.0	40.0	14.0	3.0	11.0	2.0	3.0	36.0	12.0	2.0	13.0	0.3	40.0	15.0	2.0	3.0	5.0	32.0	3.0
WBGene00006832	unc-105	10.0	0.2	1.0	2.0	6.0	4.0	11.0	13.0	8.0	3.0	9.0	2.0	0.8	8.0	2.0	5.0	6.0	0.2	38.0	3.0	0.4	2.0	2.0	6.0	1.0
WBGene00006833	unc-108	481.0	70.0	722.0	632.0	720.0	453.0	216.0	311.0	170.0	59.0	116.0	75.0	161.0	210.0	372.0	272.0	263.0	149.0	430.0	278.0	193.0	423.0	77.0	200.0	209.0
WBGene00006836	unc-112	280.0	6.0	18.0	26.0	43.0	96.0	84.0	39.0	90.0	20.0	31.0	13.0	19.0	14.0	263.0	106.0	120.0	25.0	240.0	107.0	42.0	200.0	24.0	14.0	67.0
WBGene00006839	unc-115	470.0	4.0	158.0	108.0	122.0	359.0	110.0	81.0	86.0	20.0	36.0	5.0	28.0	43.0	351.0	97.0	128.0	10.0	352.0	202.0	20.0	168.0	27.0	52.0	54.0
WBGene00006840	unc-116	350.0	15.0	100.0	133.0	156.0	154.0	153.0	85.0	130.0	38.0	170.0	103.0	87.0	97.0	333.0	165.0	149.0	28.0	309.0	283.0	53.0	412.0	68.0	93.0	128.0
WBGene00006843	unc-119	98.0	10.0	103.0	43.0	29.0	38.0	18.0	36.0	11.0	7.0	11.0	6.0	11.0	22.0	111.0	15139.0	84.0	123.0	70.0	75.0	155.0	101.0	7.0	22.0	74.0
WBGene00006844	unc-120	292.0	1.0	23.0	31.0	93.0	42.0	45.0	52.0	28.0	11.0	16.0	1.0	4.0	45.0	393.0	139.0	129.0	37.0	176.0	81.0	64.0	271.0	7.0	34.0	43.0
WBGene00006845	unc-122	12.0		0.4	4.0	3.0	1.0	6.0	2.0	4.0	0.7	1.0	0.1	1.0	0.6	3.0		4.0	0.9	14.0	6.0	0.8	1.0	1.0	0.7	0.9
WBGene00006852	unc-129	142.0	1.0		5.0	9.0	12.0	18.0	17.0	10.0	3.0	6.0	0.3	2.0	15.0	152.0	7.0	41.0	15.0	99.0	20.0	26.0	79.0	2.0	11.0	8.0
WBGene00006853	unc-130	48.0	0.3	3.0	4.0	21.0	1.0	10.0	12.0	5.0	1.0	2.0		0.9	12.0	87.0	18.0	38.0	29.0	37.0	11.0	26.0	77.0	1.0	13.0	21.0
WBGene00006856	usp-14	55.0	135.0	7.0	13.0	13.0	88.0	73.0	33.0	74.0	31.0	38.0	230.0	194.0	32.0	34.0	29.0	185.0	32.0	53.0	14.0	53.0	50.0	114.0	42.0	298.0
WBGene00006861	cal-5	61.0	2.0	13.0	31.0	43.0	42.0	72.0	291.0	135.0	20.0	71.0	6.0	27.0	112.0	36.0	3.0	13.0	3.0	56.0	6.0	3.0	16.0	46.0	88.0	5.0
WBGene00006862	pnk-4	3.0	6.0	0.9	5.0	11.0	1.0	6.0	7.0	4.0	2.0	3.0	3.0	6.0	6.0	8.0	7.0	7.0	3.0	5.0	4.0	10.0	9.0	4.0	6.0	10.0
WBGene00006863	gyg-1	21.0	3.0	58.0	195.0	255.0	180.0	155.0	33.0	139.0	39.0	64.0	3.0	30.0	16.0	6.0	10.0	15.0	0.2	47.0	21.0	2.0	2.0	43.0	27.0	7.0
WBGene00006864	npr-16	1.0		1.0	28.0	12.0	26.0	5.0	8.0	4.0	1.0	2.0		1.0	9.0	0.4		1.0	0.1	3.0	2.0		0.5	1.0	11.0	0.2
WBGene00006865	slcf-2	14.0			4.0	6.0	2.0	6.0	7.0	5.0	6.0	17.0	0.1	1.0	4.0	2.0	1.0	5.0	0.4	15.0	2.0	0.5	0.9	1.0	3.0	1.0
WBGene00006868	vab-1	184.0	41.0	16.0	54.0	27.0	125.0	49.0	29.0	23.0	5.0	9.0	93.0	57.0	20.0	197.0	166.0	103.0	9.0	130.0	99.0	28.0	182.0	23.0	21.0	70.0
WBGene00006869	vab-2	86.0	5.0	35.0	15.0	10.0	3.0	13.0	7.0	7.0	4.0	3.0	2.0	6.0	4.0	90.0	45.0	49.0	20.0	57.0	61.0	26.0	76.0	1.0	5.0	20.0
WBGene00006870	vab-3	103.0	0.1	21.0	57.0	70.0	13.0	13.0	18.0	6.0	2.0	5.0		2.0	19.0	108.0	23.0	32.0	9.0	85.0	30.0	16.0	101.0	1.0	22.0	10.0
WBGene00006873	vab-7	12.0		0.1	8.0	5.0	4.0	3.0	2.0	0.9	0.2	1.0		0.2	2.0	10.0	10.0	10.0	32.0	10.0	4.0	32.0	10.0	0.2	3.0	5.0
