# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2596
# Selected columns: 7 (all)
# Timestamp: Fri, 24-Aug-2018 23:13:49
Gene ID	Gene Name	adipose tissue	duodenum	hypothalamus	kidney	liver	lung	muscle tissue
ENSBTAG00000001273	NLRP3	5.0	0.2	3.0	0.7	0.9	19.0	1.0
ENSBTAG00000001274	PPM1L	31.0	66.0	21.0	3.0	3.0	4.0	4.0
ENSBTAG00000001279	MPP2	0.6		11.0	0.9		10.0	0.3
ENSBTAG00000001280	CLPB	9.0	7.0	12.0	10.0	3.0	9.0	7.0
ENSBTAG00000001282	RALGAPA1	14.0	5.0	40.0	7.0	4.0	8.0	4.0
ENSBTAG00000001283	RIC1	14.0	5.0	8.0	3.0	2.0	11.0	4.0
ENSBTAG00000001286	ELMO3	0.6		0.7	33.0	13.0	26.0	22.0
ENSBTAG00000001287	ENSBTAG00000001287	1.0	0.2	0.3	1.0	1.0	3.0	0.4
ENSBTAG00000001288	MAOB	51.0	10.0	39.0	553.0	318.0	21.0	51.0
ENSBTAG00000001289	MRPL18	40.0	36.0	49.0	57.0	32.0	44.0	37.0
ENSBTAG00000001290	TUBD1	6.0	1.0	5.0	2.0	4.0	9.0	2.0
ENSBTAG00000001291	ENSBTAG00000001291	0.1		0.4				
ENSBTAG00000001292	LTF	0.9	0.3	3.0	1.0	3.0	18.0	41.0
ENSBTAG00000001293	MAATS1	0.9	0.2	2.0	1.0	0.2	3.0	0.3
ENSBTAG00000001294	PPP1R15A	22.0	8.0	5.0	15.0	5.0	92.0	5.0
ENSBTAG00000001295	DEPDC5	6.0	5.0	7.0	3.0	4.0	14.0	2.0
ENSBTAG00000001296	TMEM50A	111.0	12.0	68.0	60.0	98.0	125.0	55.0
ENSBTAG00000001297	ENSBTAG00000001297					0.1		
ENSBTAG00000001298	STAMBPL1	7.0	12.0	10.0	5.0	0.8	3.0	5.0
ENSBTAG00000001299	CYP7B1	6.0	0.5	26.0	2.0	18.0	4.0	3.0
ENSBTAG00000001301	LRRC32	6.0	0.7	2.0	6.0	1.0	32.0	1.0
ENSBTAG00000001302	MRPS28	18.0	16.0	11.0	24.0	19.0	8.0	11.0
ENSBTAG00000001303	HSPB8	44.0	476.0	99.0	31.0	61.0	229.0	5.0
ENSBTAG00000001305	ATP2B2	1.0	8.0	28.0	2.0	7.0	0.5	0.1
ENSBTAG00000001306	FXN	19.0	22.0	29.0	19.0	14.0	15.0	10.0
ENSBTAG00000001308	ENSBTAG00000001308	7.0	0.2	1.0	0.6	0.6	15.0	8.0
ENSBTAG00000001310	RHO	0.1					0.2	
ENSBTAG00000001311	MORF4L2	184.0	132.0	220.0	159.0	237.0	144.0	126.0
ENSBTAG00000001314	TRMT6	11.0	8.0	9.0	7.0	4.0	10.0	8.0
ENSBTAG00000001315	DMRTA1			0.3			0.8	0.9
ENSBTAG00000001320	VPS16	32.0	5.0	19.0	23.0	12.0	45.0	11.0
ENSBTAG00000001321	IL1B	3.0	2.0	5.0	2.0	16.0	16.0	5.0
ENSBTAG00000001322	SAXO1	0.2		0.1	0.1		0.3	
ENSBTAG00000001323	CENPC	16.0	4.0	13.0	8.0	6.0	14.0	8.0
ENSBTAG00000001324	SLCO2A1	11.0	2.0	2.0	8.0	0.9	162.0	13.0
ENSBTAG00000001325	UPB1	2.0	0.1		460.0	115.0	8.0	
ENSBTAG00000001326	SLC44A5	0.1		12.0	0.7		0.1	
ENSBTAG00000001328	SLBP	28.0	4.0	26.0	14.0	15.0	39.0	24.0
ENSBTAG00000001329	CLPTM1L	65.0	17.0	23.0	92.0	39.0	108.0	68.0
ENSBTAG00000001331	ERICH6	0.2		0.3	0.1	0.1	0.6	
ENSBTAG00000001332	MYO1C	140.0	38.0	6.0	37.0	10.0	259.0	14.0
ENSBTAG00000001333	PPARG	155.0	2.0	0.3	2.0	1.0	16.0	28.0
ENSBTAG00000001335	GHR	246.0	61.0	5.0	25.0	93.0	7.0	12.0
ENSBTAG00000001338	CCR3	1.0		0.2	0.2	0.3	3.0	2.0
ENSBTAG00000001341	WNT5B	0.5	0.1	0.3	2.0	0.1	7.0	0.3
ENSBTAG00000001342	RSL24D1	37.0	14.0	40.0	28.0	39.0	35.0	27.0
ENSBTAG00000001343	DEPDC1	1.0		0.2	0.1	0.1	0.3	2.0
ENSBTAG00000001344	METTL21E	0.3	15.0	0.2		0.2		
ENSBTAG00000001346	STRA8	16.0	3.0	2.0	14.0	65.0	98.0	12.0
ENSBTAG00000001348	COMMD8	28.0	14.0	19.0	7.0	4.0	15.0	7.0
ENSBTAG00000001349	KIF1C	146.0	473.0	107.0	118.0	35.0	307.0	35.0
ENSBTAG00000001350	ENSBTAG00000001350	0.2				0.4	6.0	
ENSBTAG00000001352	SDCCAG3	24.0	15.0	10.0	31.0	13.0	49.0	13.0
ENSBTAG00000001353	PMPCA	45.0	35.0	18.0	109.0	40.0	62.0	32.0
ENSBTAG00000001354	INPP5E	2.0	1.0	2.0	5.0	0.7	10.0	0.7
ENSBTAG00000001356	USP38	10.0	32.0	13.0	9.0	17.0	12.0	8.0
ENSBTAG00000001359	B3GNT7	0.7	0.2	0.8	1.0	0.2	7.0	0.6
ENSBTAG00000001360	RPS12	4368.0	840.0	1175.0	2120.0	434.0	3351.0	6452.0
ENSBTAG00000001361	NMNAT1	25.0	22.0	23.0	29.0	19.0	18.0	20.0
ENSBTAG00000001364	DPH6	9.0	4.0	5.0	7.0	7.0	6.0	8.0
ENSBTAG00000001365	C1QTNF9	8.0	7.0	0.6	0.8	1.0	0.8	0.1
ENSBTAG00000001367	C1QTNF2	6.0	1.0	0.1	0.8	0.1	5.0	0.1
ENSBTAG00000001368	LGALS3BP	238.0	7.0	33.0	77.0	139.0	174.0	127.0
ENSBTAG00000001374	METTL27	5.0	0.5	0.6	23.0	12.0	4.0	6.0
ENSBTAG00000001376	RAD21L1	1.0		0.7	1.0	26.0	0.4	0.3
ENSBTAG00000001382	SLC26A9	0.4	0.1	0.2	2.0	0.4	5.0	0.1
ENSBTAG00000001385	ZSCAN2	2.0	0.7	2.0	2.0	1.0	4.0	3.0
ENSBTAG00000001387	WDR73	11.0	12.0	16.0	12.0	2.0	22.0	6.0
ENSBTAG00000001388	NMB	9.0	2.0	6.0	17.0	1.0	2.0	2.0
ENSBTAG00000001390	B4GALT4	17.0	1.0	20.0	7.0	3.0	17.0	7.0
ENSBTAG00000001391	ANKRD42	7.0	1.0	8.0	5.0	2.0	9.0	3.0
ENSBTAG00000001392	RDH16	0.1	0.1		479.0	446.0	4.0	165.0
ENSBTAG00000001393	MTF2	13.0	5.0	15.0	5.0	5.0	8.0	10.0
ENSBTAG00000001394	TMED9	149.0	29.0	53.0	149.0	120.0	162.0	111.0
ENSBTAG00000001395	C1H21ORF91	22.0	2.0	34.0	0.9	3.0	2.0	7.0
ENSBTAG00000001396	ADAMTS7	4.0	0.2	0.3	3.0	1.0	22.0	0.6
ENSBTAG00000001398	ATP2A2	41.0	876.0	175.0	84.0	35.0	68.0	43.0
ENSBTAG00000001400	AKT2	80.0	50.0	13.0	33.0	20.0	65.0	13.0
ENSBTAG00000001401	SLC45A1			15.0				
ENSBTAG00000001403	PRKCI	13.0	2.0	17.0	11.0	5.0	14.0	25.0
ENSBTAG00000001404	CACNG3			6.0			0.1	
ENSBTAG00000001405	GLCE	63.0	4.0	6.0	12.0	19.0	41.0	9.0
ENSBTAG00000001406	MAB21L3				1.0	1.0	0.5	1.0
ENSBTAG00000001407	AP3S2	41.0	18.0	37.0	43.0	13.0	46.0	22.0
ENSBTAG00000001408	CNRIP1	49.0	5.0	45.0	7.0	5.0	32.0	6.0
ENSBTAG00000001410	GRAMD1B	4.0	0.8	19.0	11.0	1.0	17.0	10.0
ENSBTAG00000001412	N6AMT1	3.0	2.0	5.0	3.0	9.0	5.0	2.0
ENSBTAG00000001414	KCTD12	16.0	3.0	12.0	7.0	0.6	56.0	6.0
ENSBTAG00000001415	THOC6	12.0	2.0	2.0	8.0	3.0	16.0	6.0
ENSBTAG00000001417	ACSM1	337.0	4.0	0.9	1162.0	799.0	141.0	
ENSBTAG00000001419	MRPL4	27.0	29.0	19.0	39.0	25.0	40.0	26.0
ENSBTAG00000001420	ABHD12	57.0	5.0	105.0	79.0	24.0	88.0	48.0
ENSBTAG00000001422	HMGN3	117.0	51.0	87.0	151.0	103.0	107.0	95.0
ENSBTAG00000001424	MSH6	30.0	12.0	18.0	21.0	10.0	36.0	26.0
ENSBTAG00000001425	FBXO11	48.0	23.0	58.0	17.0	12.0	37.0	22.0
ENSBTAG00000001429	NEURL1B	4.0	2.0	0.8	1.0	0.3	23.0	2.0
ENSBTAG00000001432	ENSBTAG00000001432	0.2	0.1	0.7		2.0	0.2	0.3
ENSBTAG00000001435	ARL6IP6	21.0	3.0	14.0	19.0	30.0	18.0	11.0
ENSBTAG00000001439	HESX1	6.0	0.4	7.0	5.0	6.0	4.0	0.7
ENSBTAG00000001440	PMM2	36.0	2.0	8.0	32.0	23.0	24.0	35.0
ENSBTAG00000001441	CARHSP1	41.0	3.0	7.0	118.0	37.0	64.0	53.0
ENSBTAG00000001442	ENSBTAG00000001442	0.5		1.0	2.0	1.0	0.2	
ENSBTAG00000001443	ENSBTAG00000001443	0.7		0.3	0.1	7.0	0.1	0.1
ENSBTAG00000001444	TNXB	46.0	9.0	2.0	10.0	0.5	28.0	3.0
ENSBTAG00000001446	ABRACL	37.0	1.0	9.0	65.0	9.0	15.0	50.0
ENSBTAG00000001447	HRH1	12.0	2.0	0.9	0.2	0.1	51.0	20.0
ENSBTAG00000001448	INMT				0.2	9.0	0.2	
ENSBTAG00000001449	SRA1	75.0	10.0	39.0	53.0	41.0	71.0	34.0
ENSBTAG00000001450	APBB3	22.0	1.0	16.0	14.0	11.0	37.0	2.0
ENSBTAG00000001451	A4GNT							11.0
ENSBTAG00000001455	HOXA7	2.0	6.0		23.0		6.0	
ENSBTAG00000001457	TMEM267	3.0	0.5	9.0	11.0	11.0	3.0	6.0
ENSBTAG00000001460	LIN7C	32.0	6.0	32.0	17.0	28.0	30.0	23.0
ENSBTAG00000001462	FLT4	5.0	0.8	0.1	2.0	2.0	10.0	1.0
ENSBTAG00000001463	TNKS	8.0	8.0	30.0	3.0	0.9	4.0	5.0
ENSBTAG00000001464	GPR156	1.0	0.1	2.0	0.1	1.0	2.0	0.1
ENSBTAG00000001465	P2RY1	2.0	17.0	10.0	0.6	3.0	4.0	5.0
ENSBTAG00000001468	SAMD4A	8.0	19.0	22.0	6.0	3.0	20.0	0.9
ENSBTAG00000001470	DTX2	13.0	8.0	2.0	19.0	4.0	33.0	7.0
ENSBTAG00000001471	POC1A	6.0	1.0	3.0	2.0	3.0	14.0	27.0
ENSBTAG00000001473	ARVCF	9.0	6.0	2.0	85.0	14.0	15.0	0.5
ENSBTAG00000001474	NRGN	4.0	0.1	40.0	7.0	0.3	8.0	0.1
ENSBTAG00000001475	MCUR1	28.0	10.0	29.0	24.0	17.0	30.0	30.0
ENSBTAG00000001476	ENSBTAG00000001476	6.0	0.2	0.1	0.5	2.0	11.0	1.0
ENSBTAG00000001477	ENSBTAG00000001477	2.0	0.1	1.0	0.4	0.9	3.0	1.0
ENSBTAG00000001478	DESI2	8.0	11.0	4.0	5.0	3.0	9.0	8.0
ENSBTAG00000001481	IGSF9	0.1		0.2	0.7	0.2	2.0	7.0
ENSBTAG00000001483	ENSBTAG00000001483	15.0	2.0	13.0	5.0	4.0	37.0	4.0
ENSBTAG00000001484	LZTFL1	35.0	8.0	66.0	40.0	23.0	59.0	15.0
ENSBTAG00000001485	PPIP5K2	20.0	1.0	30.0	33.0	59.0	9.0	52.0
ENSBTAG00000001486	ZNF280D	20.0	6.0	21.0	9.0	7.0	12.0	7.0
ENSBTAG00000001488	OTC					350.0		76.0
ENSBTAG00000001489	TUBA1A	61.0	7.0	514.0	14.0	4.0	92.0	17.0
ENSBTAG00000001491	NWD2	0.1		2.0				0.1
ENSBTAG00000001492	FYB1	21.0	0.3	4.0	18.0	5.0	29.0	10.0
ENSBTAG00000001497	MRAS	104.0	4.0	65.0	10.0	8.0	33.0	5.0
ENSBTAG00000001498	CYTH2	29.0	8.0	31.0	42.0	10.0	80.0	20.0
ENSBTAG00000001499	TRIM33	10.0	4.0	11.0	3.0	2.0	4.0	7.0
ENSBTAG00000001500	FIGNL1	3.0	0.1	4.0	0.9	1.0	1.0	2.0
ENSBTAG00000001502	ENSBTAG00000001502	0.5				0.7	0.1	
ENSBTAG00000001503	TRIM72	0.1	111.0		0.1			0.4
ENSBTAG00000001504	NOP14	16.0	10.0	9.0	25.0	10.0	38.0	9.0
ENSBTAG00000001505	GRK4	8.0	3.0	13.0	10.0	10.0	12.0	3.0
ENSBTAG00000001506	HTT	14.0	3.0	9.0	18.0	4.0	34.0	7.0
ENSBTAG00000001507	CLCN5	3.0	2.0	6.0	25.0	0.2	0.6	1.0
ENSBTAG00000001508	SH3RF1	4.0	2.0	3.0	11.0	1.0	24.0	4.0
ENSBTAG00000001509	ELK3	33.0	4.0	6.0	8.0	4.0	45.0	10.0
ENSBTAG00000001510	CDK17	22.0	4.0	49.0	6.0	3.0	18.0	7.0
ENSBTAG00000001511	BCL6	37.0	48.0	18.0	11.0	10.0	66.0	4.0
ENSBTAG00000001512	ZFP64	9.0	14.0	3.0	7.0	3.0	17.0	5.0
ENSBTAG00000001513	PDIK1L	8.0	2.0	8.0	4.0	3.0	5.0	5.0
ENSBTAG00000001514	ASB11	20.0	47.0	6.0	51.0	85.0	18.0	6.0
ENSBTAG00000001516	CALCB			7.0	0.3			
ENSBTAG00000001517	KRT18	0.4	0.2	6.0	97.0	129.0	75.0	158.0
ENSBTAG00000001518	ISG20L2	21.0	8.0	11.0	16.0	16.0	31.0	15.0
ENSBTAG00000001519	RRNAD1	5.0	3.0	4.0	10.0	5.0	16.0	2.0
ENSBTAG00000001520	MRPL24	51.0	46.0	46.0	93.0	73.0	37.0	55.0
ENSBTAG00000001521	UQCRB	261.0	525.0	217.0	328.0	126.0	111.0	195.0
ENSBTAG00000001522	MTERF3	33.0	11.0	25.0	22.0	19.0	21.0	8.0
ENSBTAG00000001523	YES1	21.0	3.0	14.0	10.0	18.0	23.0	31.0
ENSBTAG00000001527	TMEM213	0.3			177.0	0.2	2.0	0.1
ENSBTAG00000001528	CDK13	16.0	6.0	15.0	10.0	7.0	23.0	9.0
ENSBTAG00000001529	NSD3	20.0	5.0	16.0	9.0	4.0	22.0	11.0
ENSBTAG00000001530	FGF8		0.1					
ENSBTAG00000001533	HACE1	13.0	1.0	17.0	6.0	4.0	12.0	6.0
ENSBTAG00000001535	LIPH				1.0	5.0	1.0	24.0
ENSBTAG00000001537	TSKU	29.0	4.0	4.0	563.0	501.0	51.0	15.0
ENSBTAG00000001538	ENSBTAG00000001538	0.3			1.0	11.0	0.9	0.8
ENSBTAG00000001539	SAV1	33.0	9.0	11.0	12.0	10.0	29.0	5.0
ENSBTAG00000001543	BRI3BP	2.0	0.8	3.0	16.0	3.0	5.0	33.0
ENSBTAG00000001545	SLC34A2			0.2	0.8		356.0	0.1
ENSBTAG00000001546	MGAT1	77.0	20.0	24.0	97.0	36.0	145.0	47.0
ENSBTAG00000001548	UBQLN4	21.0	13.0	19.0	21.0	7.0	56.0	12.0
ENSBTAG00000001551	PLEKHG3	12.0	3.0	13.0	43.0	4.0	34.0	8.0
ENSBTAG00000001552	EPC1	22.0	16.0	16.0	13.0	6.0	48.0	13.0
ENSBTAG00000001553	HNRNPA1	436.0	118.0	264.0	268.0	129.0	562.0	595.0
ENSBTAG00000001557	CCL28	0.2	0.7	1.0	33.0	8.0	1.0	24.0
ENSBTAG00000001558	PATL2	0.6	0.1	0.5	0.2		0.6	
ENSBTAG00000001562	NFE2	0.8			0.6	0.9	17.0	0.1
ENSBTAG00000001564	PDE4DIP	9.0	650.0	53.0	6.0	5.0	8.0	9.0
ENSBTAG00000001565	MESD	85.0	15.0	85.0	84.0	58.0	103.0	60.0
ENSBTAG00000001567	LRRK1	7.0	0.6	3.0	3.0	1.0	42.0	9.0
ENSBTAG00000001568	PPIC	55.0	5.0	8.0	14.0	12.0	45.0	14.0
ENSBTAG00000001570	CSF2				0.1		3.0	
ENSBTAG00000001571	LRRD1			0.8		1.0		0.1
ENSBTAG00000001572	NSUN7	0.1		4.0	3.0	0.5	3.0	0.7
ENSBTAG00000001573	JMJD1C	34.0	8.0	36.0	8.0	14.0	13.0	15.0
ENSBTAG00000001574	GPATCH2	5.0	1.0	5.0	4.0	4.0	5.0	4.0
ENSBTAG00000001575	CALM2	410.0	176.0	1418.0	212.0	187.0	476.0	451.0
ENSBTAG00000001576	TMEM140	32.0	32.0	2.0	24.0	19.0	35.0	4.0
ENSBTAG00000001578	ADPGK	21.0	2.0	13.0	16.0	6.0	59.0	14.0
ENSBTAG00000001579	EIF2C2	11.0	18.0	5.0	3.0	3.0	10.0	8.0
ENSBTAG00000001580	CLGN	2.0		37.0	0.4	0.3	0.4	0.7
ENSBTAG00000001582	AKR1B10			0.1	133.0	9.0	1.0	
ENSBTAG00000001585	WIPF1	53.0	4.0	24.0	8.0	6.0	62.0	15.0
ENSBTAG00000001586	OTUD7B	12.0	23.0	22.0	11.0	0.6	19.0	7.0
ENSBTAG00000001589	TM9SF2	151.0	29.0	129.0	88.0	83.0	168.0	201.0
ENSBTAG00000001592	INSIG1	29.0	2.0	23.0	26.0	446.0	49.0	25.0
ENSBTAG00000001593	OGFOD2	6.0	3.0	5.0	12.0	5.0	11.0	3.0
ENSBTAG00000001594	ARL6IP4	24.0	9.0	13.0	35.0	17.0	37.0	13.0
ENSBTAG00000001595	MT1E	12.0	0.9	18.0	2142.0	208.0	131.0	987.0
ENSBTAG00000001597	PITPNM2	8.0	1.0	3.0	2.0	0.3	26.0	2.0
ENSBTAG00000001598	MAP7	2.0		66.0	47.0	21.0	12.0	30.0
ENSBTAG00000001599	SV2A	6.0		78.0	1.0	0.9	6.0	0.1
ENSBTAG00000001600	DCUN1D4	16.0	3.0	34.0	6.0	5.0	11.0	7.0
ENSBTAG00000001601	PKM2	233.0	3285.0	400.0	233.0	8.0	393.0	133.0
ENSBTAG00000001602	IL4R	31.0	5.0	2.0	11.0	10.0	71.0	14.0
ENSBTAG00000001603	YIPF7	0.4	22.0	1.0	0.1	0.7		0.1
ENSBTAG00000001604	ENSBTAG00000001604	0.4	149.0	0.7	0.2	2.0	0.3	
ENSBTAG00000001605	ENSBTAG00000001605	0.4		5.0				0.8
ENSBTAG00000001607	TMEM41B	21.0	4.0	37.0	17.0	15.0	17.0	22.0
ENSBTAG00000001608	ENSBTAG00000001608	0.1			0.1	0.2		
ENSBTAG00000001609	MAP2K6	8.0	71.0	12.0	13.0	19.0	9.0	14.0
ENSBTAG00000001610	BKB3				12.0		0.2	
ENSBTAG00000001612	LSM1	22.0	13.0	21.0	26.0	26.0	32.0	19.0
ENSBTAG00000001614	ZNF174	6.0	2.0	5.0	5.0	3.0	9.0	4.0
ENSBTAG00000001615	RUNDC3A	1.0		44.0	0.5		0.7	0.5
ENSBTAG00000001616	ZNF592	12.0	8.0	4.0	11.0	6.0	32.0	4.0
ENSBTAG00000001617	G2E3	16.0	0.8	18.0	2.0	6.0	4.0	8.0
ENSBTAG00000001618	ALPK3	4.0	177.0	5.0	16.0	1.0	9.0	2.0
ENSBTAG00000001619	SERINC5	43.0	6.0	26.0	11.0	5.0	40.0	11.0
ENSBTAG00000001621	ENSBTAG00000001621	0.1						
ENSBTAG00000001626	CTPS1	13.0	2.0	16.0	12.0	6.0	21.0	8.0
ENSBTAG00000001627	ENSBTAG00000001627	1.0	0.9	0.7	0.6	2.0	0.7	2.0
ENSBTAG00000001628	SLFNL1	0.2		0.1	0.8	0.1	0.4	
ENSBTAG00000001629	SCMH1	11.0	12.0	6.0	11.0	2.0	10.0	4.0
ENSBTAG00000001631	KIFC1	6.0	0.2	0.6	1.0	0.8	11.0	7.0
ENSBTAG00000001632	NBR1	75.0	42.0	51.0	42.0	61.0	102.0	49.0
ENSBTAG00000001634	PHF1	34.0	8.0	28.0	39.0	27.0	84.0	4.0
ENSBTAG00000001635	CUTA	73.0	35.0	46.0	162.0	20.0	74.0	99.0
ENSBTAG00000001637	FUNDC1	36.0	16.0	73.0	27.0	27.0	28.0	27.0
ENSBTAG00000001638	FGA				1.0	8184.0		0.1
ENSBTAG00000001639	TRPM1	0.5			0.1			
ENSBTAG00000001640	EPB41L1	6.0	2.0	70.0	31.0	1.0	43.0	11.0
ENSBTAG00000001642	TTC34			0.1	0.1		6.0	
ENSBTAG00000001644	MDN1	5.0	3.0	11.0	3.0	3.0	6.0	2.0
ENSBTAG00000001645	AAR2	10.0	4.0	7.0	16.0	5.0	14.0	9.0
ENSBTAG00000001647	PLEKHJ1	22.0	2.0	13.0	46.0	18.0	55.0	27.0
ENSBTAG00000001648	RPL21	807.0	211.0	396.0	431.0	465.0	484.0	1797.0
ENSBTAG00000001649	ZFPM2	8.0	0.4	4.0	0.5	0.2	7.0	0.1
ENSBTAG00000001651	SYF2	77.0	24.0	59.0	50.0	48.0	61.0	30.0
ENSBTAG00000001652	SLCO3A1	3.0	7.0	17.0	5.0	0.5	14.0	4.0
ENSBTAG00000001654	SNTB2	13.0	5.0	4.0	5.0	1.0	7.0	3.0
ENSBTAG00000001656	TMEM254	52.0	4.0	78.0	31.0	110.0	33.0	9.0
ENSBTAG00000001657	PICALM	507.0	51.0	164.0	127.0	64.0	302.0	144.0
ENSBTAG00000001658	AKR1D1				0.8	301.0		
ENSBTAG00000001659	VPS4A	72.0	74.0	45.0	57.0	37.0	77.0	38.0
ENSBTAG00000001660	SPTY2D1	17.0	4.0	6.0	6.0	4.0	13.0	9.0
ENSBTAG00000001662	EHD3	12.0	0.8	36.0	21.0	10.0	21.0	4.0
ENSBTAG00000001663	PDF	10.0	7.0	14.0	20.0	7.0	9.0	14.0
ENSBTAG00000001665	COG8	16.0	13.0	13.0	24.0	9.0	33.0	13.0
ENSBTAG00000001666	NIP7	6.0	3.0	9.0	4.0	3.0	4.0	5.0
ENSBTAG00000001668	WNT7A			2.0	0.5		14.0	
ENSBTAG00000001671	RTF1	28.0	26.0	24.0	20.0	14.0	39.0	18.0
ENSBTAG00000001673	C2CD5	22.0	2.0	34.0	17.0	20.0	20.0	18.0
ENSBTAG00000001675	ITPKA	2.0	0.1	0.1	1.0	1.0	3.0	10.0
ENSBTAG00000001683	FAM171B	2.0	0.2	45.0	0.3	0.1	0.4	0.9
ENSBTAG00000001686	LRRC52			0.6				
ENSBTAG00000001687	STC1	20.0	1.0	3.0	17.0	1.0	14.0	7.0
ENSBTAG00000001692	NDST1	19.0	7.0	26.0	17.0	9.0	139.0	5.0
ENSBTAG00000001693	RPAP1	9.0	5.0	6.0	10.0	5.0	19.0	5.0
ENSBTAG00000001694	TYRO3	3.0	0.3	42.0	17.0	0.3	3.0	1.0
ENSBTAG00000001695	ENSBTAG00000001695			0.3		0.4		0.2
ENSBTAG00000001696	RBM46			0.1		0.1		0.3
ENSBTAG00000001697	TRA2B	164.0	27.0	130.0	143.0	141.0	256.0	120.0
ENSBTAG00000001698	CHTF8	28.0	6.0	15.0	31.0	19.0	37.0	27.0
ENSBTAG00000001700	ENSBTAG00000001700	211.0	68.0	158.0	94.0	44.0	241.0	134.0
ENSBTAG00000001702	TMEM107	10.0	2.0	13.0	8.0	2.0	11.0	3.0
ENSBTAG00000001703	SYT13	0.1	0.1	50.0	0.2	6.0	1.0	6.0
ENSBTAG00000001704	ENSBTAG00000001704	0.1		0.3			0.1	
ENSBTAG00000001706	SLC9A2	0.4	33.0	2.0	5.0		2.0	9.0
ENSBTAG00000001707	UIMC1	11.0	0.8	8.0	5.0	4.0	11.0	3.0
ENSBTAG00000001708	TTLL12	28.0	22.0	17.0	83.0	20.0	67.0	35.0
ENSBTAG00000001710	CMTM8	6.0	1.0	2.0	12.0	30.0	36.0	6.0
ENSBTAG00000001711	BORCS6	6.0	7.0	9.0	8.0	2.0	16.0	7.0
ENSBTAG00000001712	CMTM7	28.0	2.0	9.0	50.0	6.0	62.0	10.0
ENSBTAG00000001714	MFSD9	3.0	2.0	3.0	7.0	2.0	7.0	12.0
ENSBTAG00000001717	AURKB	4.0	0.2	0.7	0.9	0.8	3.0	10.0
ENSBTAG00000001721	GYG1	108.0	238.0	77.0	22.0	6.0	98.0	22.0
ENSBTAG00000001724	ZADH2	19.0	28.0	8.0	45.0	67.0	39.0	18.0
ENSBTAG00000001725	CXCL10	34.0	0.8	2.0	2.0	11.0	29.0	14.0
ENSBTAG00000001727	FAM213B	42.0	35.0	45.0	157.0	20.0	48.0	97.0
ENSBTAG00000001728	IGSF10	8.0	0.2	0.4	0.5		5.0	0.1
ENSBTAG00000001729	DUSP10	25.0	5.0	8.0	1.0	8.0	12.0	1.0
ENSBTAG00000001730	ODF3						0.1	
ENSBTAG00000001731	GLYR1	42.0	9.0	45.0	51.0	26.0	81.0	27.0
ENSBTAG00000001734	MS4A10	0.1	0.1	0.3	0.1	0.2		21.0
ENSBTAG00000001735	ADAM11	0.3		5.0			0.6	0.4
ENSBTAG00000001736	UBN1	14.0	15.0	9.0	15.0	3.0	39.0	11.0
ENSBTAG00000001737	ZCCHC6	28.0	9.0	18.0	11.0	18.0	17.0	21.0
ENSBTAG00000001739	CDH20	2.0		19.0	0.4	0.1	1.0	0.1
ENSBTAG00000001740	HAPLN3	8.0	1.0	1.0	37.0	4.0	3.0	0.3
ENSBTAG00000001741	DLGAP4	16.0	23.0	14.0	15.0	4.0	25.0	6.0
ENSBTAG00000001744	BET1L	29.0	3.0	13.0	23.0	14.0	35.0	13.0
ENSBTAG00000001745	LUM	604.0	24.0	10.0	101.0	15.0	140.0	128.0
ENSBTAG00000001747	PEX3	44.0	7.0	27.0	11.0	34.0	10.0	14.0
ENSBTAG00000001748	TRIM45	4.0	6.0	5.0	4.0	1.0	5.0	0.9
ENSBTAG00000001749	SENP2	37.0	22.0	43.0	28.0	39.0	42.0	23.0
ENSBTAG00000001751	ENSBTAG00000001751			3.0				1.0
ENSBTAG00000001752	FUCA2	46.0	2.0	17.0	17.0	4.0	66.0	14.0
ENSBTAG00000001753	ENSBTAG00000001753			4.0	0.6		17.0	2.0
ENSBTAG00000001754	AHCYL2	10.0	21.0	56.0	149.0	3.0	10.0	21.0
ENSBTAG00000001755	NEUROD1			0.4				8.0
ENSBTAG00000001762	RFXANK	21.0	5.0	13.0	29.0	12.0	50.0	11.0
ENSBTAG00000001763	NR2C2AP	11.0	1.0	5.0	14.0	11.0	15.0	7.0
ENSBTAG00000001764	NCAN			56.0				
ENSBTAG00000001765	HAPLN4			9.0				
ENSBTAG00000001767	B4GALT7	13.0	5.0	8.0	15.0	8.0	14.0	10.0
ENSBTAG00000001768	TXLNG	12.0	2.0	6.0	6.0	6.0	12.0	5.0
ENSBTAG00000001770	ST8SIA5	1.0	4.0	14.0	16.0		8.0	0.2
ENSBTAG00000001771	DYRK1A	36.0	48.0	31.0	18.0	9.0	49.0	22.0
ENSBTAG00000001772	PDCL2			0.1	0.1		0.8	
ENSBTAG00000001773	C7orf49	20.0	20.0	12.0	11.0	6.0	23.0	8.0
ENSBTAG00000001774	SPRY2	32.0	10.0	32.0	26.0	33.0	36.0	11.0
ENSBTAG00000001775	RINL	6.0	0.2	4.0	1.0	1.0	11.0	1.0
ENSBTAG00000001776	SIRT2	72.0	83.0	136.0	80.0	71.0	96.0	22.0
ENSBTAG00000001777	RPLP2	1455.0	401.0	246.0	1189.0	367.0	1514.0	1255.0
ENSBTAG00000001778	NFKBIB	11.0	8.0	5.0	22.0	10.0	30.0	9.0
