# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3727
# Selected columns: 4 (all)
# Timestamp: Fri, 24-Aug-2018 23:13:02
Gene ID	Gene Name	brain	heart	kidney	skeletal muscle tissue
ENSACAG00000002762	ENSACAG00000002762	201.0	19.0	8.0	5.0
ENSACAG00000002763	TSSC4	180.0	57.0	44.0	25.0
ENSACAG00000002764	ENSACAG00000002764	43.0	4.0	6.0	5.0
ENSACAG00000002766	ENSACAG00000002766	6.0	8.0	5.0	7.0
ENSACAG00000002767	ENSACAG00000002767	10.0	11.0	4.0	5.0
ENSACAG00000002768	MSL1	44.0	5.0	5.0	2.0
ENSACAG00000002769	ACTN2	0.5	759.0		84.0
ENSACAG00000002770	ENSACAG00000002770	2.0	1.0	0.9	0.4
ENSACAG00000002771	MADD	88.0	5.0	3.0	1.0
ENSACAG00000002772	GATB	14.0	14.0	6.0	8.0
ENSACAG00000002773	DENND2C	2.0	1.0	0.1	2.0
ENSACAG00000002774	ENSACAG00000002774	33.0	108.0	17.0	263.0
ENSACAG00000002775	ENSACAG00000002775	7.0	2.0	2.0	0.6
ENSACAG00000002776	UBTD1	12.0	9.0	11.0	7.0
ENSACAG00000002777	SLMAP	42.0	70.0	18.0	8.0
ENSACAG00000002778	PDE9A	4.0	0.1	0.6	
ENSACAG00000002779	ENSACAG00000002779	0.8	0.4	37.0	0.6
ENSACAG00000002780	LMNB1	8.0	5.0	10.0	2.0
ENSACAG00000002781	ENSACAG00000002781	5.0	0.2		
ENSACAG00000002782	ERMARD	5.0	2.0	3.0	2.0
ENSACAG00000002784	ENSACAG00000002784	6.0	13.0	112.0	4.0
ENSACAG00000002785	ENSACAG00000002785	11.0	5.0	3.0	2.0
ENSACAG00000002786	IRF2	12.0	11.0	9.0	9.0
ENSACAG00000002787	ENSACAG00000002787	9.0	5.0	8.0	1.0
ENSACAG00000002788	ENSACAG00000002788	37.0	20.0	8.0	7.0
ENSACAG00000002789	TLE4	50.0	5.0	12.0	6.0
ENSACAG00000002790	ANKRD2	0.7	3.0	15.0	38.0
ENSACAG00000002791	TCTE3	3.0	6.0	5.0	3.0
ENSACAG00000002793	ENSACAG00000002793	642.0	0.7	5.0	2.0
ENSACAG00000002795	VDAC1	223.0	80.0	67.0	183.0
ENSACAG00000002796	ENSACAG00000002796	18.0	17.0	7.0	3.0
ENSACAG00000002797	ENSACAG00000002797	1.0	0.6	1.0	0.3
ENSACAG00000002798	ENSACAG00000002798			2.0	
ENSACAG00000002799	WDR27	2.0	0.5	1.0	0.2
ENSACAG00000002800	ENSACAG00000002800		0.3	8.0	
ENSACAG00000002801	ENSACAG00000002801	15.0	10.0	10.0	10.0
ENSACAG00000002803	ENSACAG00000002803			0.4	
ENSACAG00000002805	EGLN1	18.0	8.0	18.0	9.0
ENSACAG00000002806	METTL6	40.0	27.0	23.0	9.0
ENSACAG00000002807	ENSACAG00000002807	53.0	33.0	85.0	17.0
ENSACAG00000002808	ENSACAG00000002808	135.0	21.0	22.0	32.0
ENSACAG00000002810	ROPN1L	11.0	6.0	9.0	5.0
ENSACAG00000002811	SNRNP48	13.0	5.0	5.0	3.0
ENSACAG00000002812	ENSACAG00000002812	4.0	2.0	0.7	0.7
ENSACAG00000002814	MIS18A	56.0	34.0	13.0	27.0
ENSACAG00000002815	ANKRD33B	1.0	0.4	0.3	0.1
ENSACAG00000002816	ENSACAG00000002816	11.0	0.3	0.1	0.3
ENSACAG00000002817	URB1	4.0	2.0	2.0	0.9
ENSACAG00000002818	ENSACAG00000002818		0.1	0.2	
ENSACAG00000002819	ENSACAG00000002819	28.0	9.0	16.0	8.0
ENSACAG00000002820	ENSACAG00000002820	36.0	17.0	12.0	11.0
ENSACAG00000002821	ENSACAG00000002821		2.0	0.2	0.2
ENSACAG00000002822	ENSACAG00000002822	5.0	4.0	2.0	0.4
ENSACAG00000002823	CSTF3	12.0	9.0	6.0	3.0
ENSACAG00000002824	RNF25	14.0	8.0	5.0	8.0
ENSACAG00000002825	ENSACAG00000002825	1.0	3.0	0.8	2.0
ENSACAG00000002827	ENSACAG00000002827	33.0	6.0	5.0	3.0
ENSACAG00000002828	ENSACAG00000002828	5.0	6.0	3.0	2.0
ENSACAG00000002829	MRS2	6.0	1.0	2.0	2.0
ENSACAG00000002830	ENSACAG00000002830	84.0	0.3	0.9	1.0
ENSACAG00000002831	ENSACAG00000002831		0.1	0.1	
ENSACAG00000002832	EAF1	20.0	5.0	5.0	3.0
ENSACAG00000002833	MICU2	6.0	5.0	8.0	6.0
ENSACAG00000002834	ENSACAG00000002834	8.0	0.3	0.3	0.2
ENSACAG00000002835	ENSACAG00000002835	0.3		0.5	
ENSACAG00000002836	ENSACAG00000002836		0.1	0.5	0.2
ENSACAG00000002837	ENSACAG00000002837				0.5
ENSACAG00000002838	ENSACAG00000002838		0.1	0.6	
ENSACAG00000002841	ENSACAG00000002841	4.0	36.0	5.0	2.0
ENSACAG00000002843	ENSACAG00000002843	0.3		0.4	
ENSACAG00000002844	ENSACAG00000002844	74.0	0.1		
ENSACAG00000002846	ENSACAG00000002846	0.2			
ENSACAG00000002847	NR1D1	47.0	5.0	18.0	2.0
ENSACAG00000002848	ENSACAG00000002848	44.0	2.0	5.0	0.7
ENSACAG00000002849	ENSACAG00000002849	0.6		0.6	
ENSACAG00000002850	ENSACAG00000002850	18.0	6.0	7.0	2.0
ENSACAG00000002851	ENSACAG00000002851	7.0	3.0	2.0	2.0
ENSACAG00000002852	ENSACAG00000002852			0.4	
ENSACAG00000002853	SPRTN	9.0	4.0	4.0	5.0
ENSACAG00000002854	ENSACAG00000002854			0.4	
ENSACAG00000002855	CTNND2	72.0	1.0	1.0	0.1
ENSACAG00000002856	ENSACAG00000002856	8.0	7.0	3.0	4.0
ENSACAG00000002858	LARP4B	16.0	3.0	5.0	7.0
ENSACAG00000002859	ENSACAG00000002859	618.0	76.0	551.0	13.0
ENSACAG00000002860	ENSACAG00000002860	12.0		0.2	
ENSACAG00000002861	THBS2	0.3	0.2	0.1	
ENSACAG00000002862	ENSACAG00000002862	24.0	0.1	0.1	
ENSACAG00000002863	ENSACAG00000002863	15.0	10.0	8.0	5.0
ENSACAG00000002864	ENSACAG00000002864			0.2	
ENSACAG00000002865	ENSACAG00000002865	13.0	27.0	10.0	9.0
ENSACAG00000002867	EXOC8	12.0	6.0	3.0	5.0
ENSACAG00000002868	ENSACAG00000002868	15.0	22.0	33.0	19.0
ENSACAG00000002869	ENSACAG00000002869	24.0	5.0	156.0	0.9
ENSACAG00000002870	ENSACAG00000002870	0.1			0.1
ENSACAG00000002871	ENSACAG00000002871	0.5	3.0	4.0	0.5
ENSACAG00000002872	ENSACAG00000002872	3.0	0.2	0.2	
ENSACAG00000002874	FRS3	6.0	0.7	0.8	2.0
ENSACAG00000002875	ENSACAG00000002875	1.0	0.8	0.1	0.4
ENSACAG00000002876	RHOU	39.0	1.0	1.0	0.1
ENSACAG00000002877	ENSACAG00000002877	55.0	13.0	17.0	5.0
ENSACAG00000002878	ENSACAG00000002878	11.0	8.0	5.0	3.0
ENSACAG00000002879	FAM160A1	0.8	0.2	0.6	0.3
ENSACAG00000002880	TWF1	21.0	9.0	15.0	2.0
ENSACAG00000002883	ENSACAG00000002883	406.0	17.0	32.0	5.0
ENSACAG00000002884	PIK3CB	20.0	1.0	9.0	0.7
ENSACAG00000002886	ENSACAG00000002886	26.0	5.0	4.0	33.0
ENSACAG00000002887	ENSACAG00000002887	287.0		3.0	0.1
ENSACAG00000002888	ENSACAG00000002888	9.0	3.0	2.0	5.0
ENSACAG00000002889	USP38	16.0	10.0	8.0	16.0
ENSACAG00000002890	ARF4	106.0	40.0	44.0	17.0
ENSACAG00000002891	MTURN	274.0	36.0	20.0	2.0
ENSACAG00000002892	HOGA1	2.0	0.2	416.0	0.2
ENSACAG00000002895	ENSACAG00000002895	16.0	9.0	5.0	5.0
ENSACAG00000002896	ZNRF2	2.0	1.0	7.0	0.2
ENSACAG00000002897	ENSACAG00000002897	2.0	0.1		
ENSACAG00000002898	THRA	4.0	2.0	2.0	4.0
ENSACAG00000002899	ENSACAG00000002899	34.0	69.0	429.0	27.0
ENSACAG00000002900	BIVM	8.0	2.0	8.0	1.0
ENSACAG00000002902	ENSACAG00000002902	0.1			
ENSACAG00000002903	ENSACAG00000002903	36.0	10.0	14.0	0.7
ENSACAG00000002904	FGF9	13.0	0.8	0.5	0.1
ENSACAG00000002906	STK36	10.0	1.0	3.0	0.9
ENSACAG00000002907	ENSACAG00000002907	0.1	0.4	4.0	0.2
ENSACAG00000002908	ENSACAG00000002908	0.1	0.1	0.9	0.3
ENSACAG00000002909	KDELC1	5.0	8.0	4.0	0.6
ENSACAG00000002910	ENSACAG00000002910		0.2		
ENSACAG00000002911	DCDC2	3.0	0.7	18.0	0.3
ENSACAG00000002914	EVA1C	11.0	14.0	2.0	1.0
ENSACAG00000002915	ENSACAG00000002915	300.0	796.0	573.0	116.0
ENSACAG00000002916	ENSACAG00000002916	7.0	3.0	1.0	0.9
ENSACAG00000002918	ENSACAG00000002918	389.0	1530.0	1951.0	514.0
ENSACAG00000002919	NOD1	4.0	3.0	2.0	1.0
ENSACAG00000002920	ENSACAG00000002920	869.0	18.0	5.0	4.0
ENSACAG00000002921	ENSACAG00000002921	10.0	5.0	6.0	8.0
ENSACAG00000002923	IGSF11	68.0	17.0	0.2	0.6
ENSACAG00000002925	ENSACAG00000002925	2.0	9.0	4.0	7.0
ENSACAG00000002926	ENSACAG00000002926	29.0	8.0	13.0	11.0
ENSACAG00000002927	AMPD1	5.0	7.0	1.0	726.0
ENSACAG00000002928	ENSACAG00000002928	17.0	1.0	1.0	0.2
ENSACAG00000002930	DENND6A	8.0	1.0	2.0	1.0
ENSACAG00000002931	NRSN1	89.0	0.8	0.2	
ENSACAG00000002932	ENSACAG00000002932	3.0	3.0	6.0	2.0
ENSACAG00000002933	MORN4	37.0	11.0	17.0	9.0
ENSACAG00000002934	ENSACAG00000002934	12.0	41.0	14.0	28.0
ENSACAG00000002935	ENSACAG00000002935	19.0	18.0	7.0	8.0
ENSACAG00000002936	ENSACAG00000002936	5.0	3.0	2.0	1.0
ENSACAG00000002938	SLC37A1	2.0	0.5	0.9	0.6
ENSACAG00000002939	PRL	2.0	0.8	0.3	0.1
ENSACAG00000002940	NR1H3	3.0	3.0	4.0	3.0
ENSACAG00000002941	ENSACAG00000002941				0.1
ENSACAG00000002943	GTPBP4	50.0	198.0	101.0	99.0
ENSACAG00000002944	ENSACAG00000002944	76.0	7.0	8.0	19.0
ENSACAG00000002947	ENSACAG00000002947	5.0	2.0	3.0	1.0
ENSACAG00000002948	RSPH1	2.0	0.2	2.0	
ENSACAG00000002949	ENSACAG00000002949	111.0	71.0	21.0	8.0
ENSACAG00000002950	ENSACAG00000002950	4.0	4.0	3.0	2.0
ENSACAG00000002951	SH3D19	14.0	4.0	10.0	2.0
ENSACAG00000002953	ENPP6	26.0	2.0	76.0	0.1
ENSACAG00000002955	GAB1	13.0	12.0	6.0	3.0
ENSACAG00000002960	ENSACAG00000002960	17.0	9.0	2.0	0.7
ENSACAG00000002961	ENSACAG00000002961				0.9
ENSACAG00000002962	METTL21C	0.2	2.0		10.0
ENSACAG00000002964	ENSACAG00000002964	56.0	10.0	9.0	7.0
ENSACAG00000002966	ENSACAG00000002966	47.0	10.0	5.0	12.0
ENSACAG00000002967	ENSACAG00000002967	1.0	0.3	0.3	0.3
ENSACAG00000002970	MTR	4.0	2.0	3.0	1.0
ENSACAG00000002971	ENSACAG00000002971	14.0	8.0	6.0	3.0
ENSACAG00000002972	ENSACAG00000002972		0.1	1.0	
ENSACAG00000002973	ENSACAG00000002973	87.0	45.0	67.0	31.0
ENSACAG00000002975	ENSACAG00000002975	0.1			
ENSACAG00000002976	ENSACAG00000002976	59.0	63.0	46.0	13.0
ENSACAG00000002977	SGCG	2.0	41.0	2.0	41.0
ENSACAG00000002978	ENSACAG00000002978	373.0	1458.0	1763.0	406.0
ENSACAG00000002979	ENSACAG00000002979	26.0	0.5	0.3	0.7
ENSACAG00000002980	ENSACAG00000002980		0.2	0.7	
ENSACAG00000002981	ANKRD16	16.0	3.0	2.0	4.0
ENSACAG00000002984	ENSACAG00000002984	8.0	5.0	4.0	2.0
ENSACAG00000002987	TPP2	10.0	6.0	4.0	17.0
ENSACAG00000002988	IRAK4	0.8	1.0	0.9	0.3
ENSACAG00000002990	ENSACAG00000002990	17.0	0.7	2.0	1.0
ENSACAG00000002991	ENTPD3	55.0	0.5	51.0	0.8
ENSACAG00000002993	USP49	1.0	0.4	0.3	0.3
ENSACAG00000002994	ENSACAG00000002994	78.0	31.0	17.0	23.0
ENSACAG00000002995	ENSACAG00000002995	144.0	68.0	49.0	79.0
ENSACAG00000002997	AGPAT4	18.0	3.0	0.3	0.1
ENSACAG00000002999	ENSACAG00000002999	12.0	10.0	3.0	14.0
ENSACAG00000003002	ENSACAG00000003002	11.0	1.0	0.6	2.0
ENSACAG00000003003	ENSACAG00000003003	4.0	0.9	4647.0	0.4
ENSACAG00000003004	ENSACAG00000003004	23.0	15.0	5.0	33.0
ENSACAG00000003005	ENSACAG00000003005	28.0	9.0	8.0	9.0
ENSACAG00000003006	SYNJ1	46.0	9.0	5.0	3.0
ENSACAG00000003008	UBASH3A	2.0	3.0	1.0	1.0
ENSACAG00000003010	STOX2	8.0	3.0	2.0	0.9
ENSACAG00000003011	SRGAP1	10.0	1.0	2.0	0.4
ENSACAG00000003012	ENSACAG00000003012	2.0	31.0	22.0	1.0
ENSACAG00000003013	ENSACAG00000003013	8.0	5.0	5.0	11.0
ENSACAG00000003014	ENSACAG00000003014	0.1	34.0		87.0
ENSACAG00000003015	VLDLR	21.0	8.0	6.0	1.0
ENSACAG00000003016	ENSACAG00000003016	48.0	71.0	131.0	58.0
ENSACAG00000003018	ENSACAG00000003018	16.0	20.0	25.0	18.0
ENSACAG00000003019	ENSACAG00000003019	99.0	33.0	30.0	46.0
ENSACAG00000003020	GDI2	482.0	136.0	225.0	76.0
ENSACAG00000003021	ENSACAG00000003021	771.0	164.0	693.0	33.0
ENSACAG00000003022	ENSACAG00000003022	0.3	0.3		
ENSACAG00000003023	LRBA	9.0	2.0	5.0	1.0
ENSACAG00000003024	OLFM3	20.0		0.2	
ENSACAG00000003026	MED24	21.0	5.0	6.0	3.0
ENSACAG00000003027	CDKAL1	17.0	12.0	11.0	9.0
ENSACAG00000003028	ACP2	28.0	10.0	23.0	5.0
ENSACAG00000003029	RETREG2	59.0	12.0	11.0	9.0
ENSACAG00000003030	ENSACAG00000003030		0.1		
ENSACAG00000003031	ENSACAG00000003031	11.0	5.0	10.0	2.0
ENSACAG00000003034	ENSACAG00000003034	0.2	0.2	3.0	0.2
ENSACAG00000003035	TRAPPC11	18.0	5.0	4.0	4.0
ENSACAG00000003036	ENSACAG00000003036	9.0	8.0	16.0	6.0
ENSACAG00000003037	ENSACAG00000003037	28.0	9.0	9.0	5.0
ENSACAG00000003038	SMARCA5	10.0	3.0	2.0	0.8
ENSACAG00000003039	ENSACAG00000003039	35.0	13.0	17.0	8.0
ENSACAG00000003040	ENSACAG00000003040	1.0	0.3	0.1	1.0
ENSACAG00000003041	HIPK3	10.0	31.0	8.0	19.0
ENSACAG00000003044	TMX4	14.0	3.0	4.0	0.8
ENSACAG00000003045	SACS	5.0	0.8	0.2	0.7
ENSACAG00000003046	MARVELD1	0.7	1.0	0.4	0.6
ENSACAG00000003047	ENSACAG00000003047	0.6	0.6	1.0	0.1
ENSACAG00000003048	ZFYVE27	42.0	9.0	5.0	3.0
ENSACAG00000003049	ENSACAG00000003049	80.0	333.0	699.0	80.0
ENSACAG00000003051	ENSACAG00000003051	641.0	2782.0	5086.0	875.0
ENSACAG00000003052	ENSACAG00000003052	5.0	0.7	0.7	0.8
ENSACAG00000003054	ENSACAG00000003054	29.0	2.0	1.0	3.0
ENSACAG00000003055	PUS7L	1.0	0.9	0.3	0.4
ENSACAG00000003056	ABCG1	2.0	0.4		1.0
ENSACAG00000003059	ENSACAG00000003059	55.0	30.0	17.0	21.0
ENSACAG00000003060	ENSACAG00000003060	366.0	1247.0	1478.0	516.0
ENSACAG00000003061	ENSACAG00000003061	1.0	1.0	0.7	0.2
ENSACAG00000003064	TNFRSF19	3.0	0.1	0.6	0.2
ENSACAG00000003065	ENSACAG00000003065	3.0	2.0	104.0	0.5
ENSACAG00000003067	PDE12	14.0	12.0	18.0	9.0
ENSACAG00000003068	ENSACAG00000003068	135.0	59.0	36.0	41.0
ENSACAG00000003070	ENSACAG00000003070	4.0	5.0	5.0	2.0
ENSACAG00000003071	ADAMTS20	0.8	1.0	0.4	2.0
ENSACAG00000003072	ENSACAG00000003072	19.0	2.0		1.0
ENSACAG00000003074	CNPPD1	104.0	39.0	40.0	33.0
ENSACAG00000003075	ENSACAG00000003075	8.0	1.0	7.0	3.0
ENSACAG00000003076	ENSACAG00000003076	16.0	9.0	7.0	5.0
ENSACAG00000003077	E2F3	5.0	0.9	2.0	0.9
ENSACAG00000003078	ENSACAG00000003078	26.0	44.0	89.0	29.0
ENSACAG00000003079	BYSL	56.0	49.0	26.0	41.0
ENSACAG00000003080	ENSACAG00000003080	23.0	30.0	24.0	11.0
ENSACAG00000003082	GTDC1	5.0	5.0	1.0	2.0
ENSACAG00000003083	ENSACAG00000003083	10.0	0.2	0.3	0.4
ENSACAG00000003084	HAO1	0.1		28.0	0.1
ENSACAG00000003085	ENSACAG00000003085	7.0	3.0	4.0	2.0
ENSACAG00000003086	PRICKLE1	14.0	2.0	2.0	1.0
ENSACAG00000003088	ENSACAG00000003088	2.0	1.0	1.0	1.0
ENSACAG00000003089	ENSACAG00000003089	32.0	16.0	10.0	9.0
ENSACAG00000003090	NRAS	9.0	11.0	12.0	3.0
ENSACAG00000003091	ENSACAG00000003091	3.0	2.0	4.0	2.0
ENSACAG00000003093	ENSACAG00000003093	7.0	2.0	2.0	2.0
ENSACAG00000003094	MAP3K4	14.0	6.0	4.0	7.0
ENSACAG00000003095	MBOAT1	0.3	0.1	1.0	
ENSACAG00000003096	ENSACAG00000003096	69.0	1.0	0.5	1.0
ENSACAG00000003097	ENSACAG00000003097	9.0	3.0	1.0	0.7
ENSACAG00000003098	S1PR1	71.0	31.0	5.0	5.0
ENSACAG00000003099	ENSACAG00000003099	18.0	7.0	5.0	7.0
ENSACAG00000003100	FAM198A	5.0	0.5	0.2	0.5
ENSACAG00000003102	DPH5	6.0	4.0	6.0	2.0
ENSACAG00000003103	ENSACAG00000003103	45.0	33.0	24.0	15.0
ENSACAG00000003104	ENSACAG00000003104	33.0	22.0	8.0	21.0
ENSACAG00000003105	SFRP5	0.1	48.0	2.0	1.0
ENSACAG00000003106	CCND3	26.0	17.0	20.0	7.0
ENSACAG00000003107	MIPEP	10.0	14.0	13.0	11.0
ENSACAG00000003108	ENSACAG00000003108	60.0	45.0	89.0	14.0
ENSACAG00000003109	ENSACAG00000003109	4.0	3.0	2.0	0.9
ENSACAG00000003110	ARHGAP15	1.0	2.0	14.0	0.2
ENSACAG00000003111	ENSACAG00000003111	0.3		0.1	
ENSACAG00000003113	BMP2	3.0	8.0	0.8	0.3
ENSACAG00000003114	ENSACAG00000003114	66.0	19.0	4.0	5.0
ENSACAG00000003116	C12orf66	5.0	3.0	3.0	4.0
ENSACAG00000003117	ENSACAG00000003117	5.0	0.7	0.4	0.4
ENSACAG00000003118	POMGNT2	35.0	4.0	3.0	5.0
ENSACAG00000003119	ENSACAG00000003119	1.0	0.3	2.0	3.0
ENSACAG00000003120	CSDE1	167.0	131.0	85.0	428.0
ENSACAG00000003121	ENSACAG00000003121	9.0	0.6	0.4	
ENSACAG00000003122	ENSACAG00000003122	16.0	6.0	7.0	8.0
ENSACAG00000003123	ENSACAG00000003123	0.1	0.3	1.0	0.1
ENSACAG00000003124	SLC30A7	6.0	1.0	3.0	1.0
ENSACAG00000003125	RPL18A	82.0	337.0	449.0	94.0
ENSACAG00000003127	ENSACAG00000003127	17.0	0.1		
ENSACAG00000003128	ENSACAG00000003128	23.0	10.0	6.0	6.0
ENSACAG00000003130	ENSACAG00000003130	8.0	5.0	4.0	2.0
ENSACAG00000003131	ENSACAG00000003131	16.0	2.0	2.0	3.0
ENSACAG00000003132	DDB2	7.0	8.0	7.0	3.0
ENSACAG00000003135	ENSACAG00000003135	13.0	2.0	4.0	0.5
ENSACAG00000003136	ENSACAG00000003136			0.9	
ENSACAG00000003137	EXTL2	142.0	9.0	7.0	16.0
ENSACAG00000003138	KCNV2	0.4	0.7	0.1	0.5
ENSACAG00000003139	ENSACAG00000003139	35.0	7.0	5.0	3.0
ENSACAG00000003140	ENSACAG00000003140	75.0	16.0	88.0	20.0
ENSACAG00000003141	CRTAC1	98.0	55.0	10.0	7.0
ENSACAG00000003142	ENSACAG00000003142	82.0	13.0	25.0	8.0
ENSACAG00000003143	SLC23A3	2.0	0.8	88.0	0.1
ENSACAG00000003144	ENSACAG00000003144	23.0	24.0	11.0	6.0
ENSACAG00000003145	FERMT1	0.6		1.0	
ENSACAG00000003147	ENSACAG00000003147	28.0	0.5	0.4	0.3
ENSACAG00000003148	ENSACAG00000003148	0.3	2.0	0.9	0.5
ENSACAG00000003149	PPHLN1	29.0	11.0	11.0	4.0
ENSACAG00000003150	ENSACAG00000003150	5.0	0.2	0.5	68.0
ENSACAG00000003151	ENSACAG00000003151	18.0	6.0	8.0	6.0
ENSACAG00000003152	ENSACAG00000003152	2.0	2.0	0.9	1.0
ENSACAG00000003153	VANGL1	3.0	1.0	5.0	0.3
ENSACAG00000003154	XPOT	58.0	11.0	21.0	6.0
ENSACAG00000003155	WDR37	55.0	4.0	2.0	7.0
ENSACAG00000003156	KIAA1549L	12.0	0.1		
ENSACAG00000003157	ENSACAG00000003157	25.0	11.0	44.0	10.0
ENSACAG00000003158	CDC14A	18.0	7.0	7.0	3.0
ENSACAG00000003159	ENSACAG00000003159	0.4		4.0	0.1
ENSACAG00000003160	PSMD3	83.0	48.0	44.0	84.0
ENSACAG00000003161	ENSACAG00000003161	30.0	2.0	6.0	2.0
ENSACAG00000003162	PACSIN3	24.0	2.0	36.0	60.0
ENSACAG00000003163	ENSACAG00000003163	81.0	89.0	36.0	65.0
ENSACAG00000003164	KYNU		0.3	10.0	0.1
ENSACAG00000003165	UMODL1	0.1			
ENSACAG00000003166	ENSACAG00000003166	23.0	44.0	9.0	20.0
ENSACAG00000003167	ENSACAG00000003167	25.0	2.0	3.0	2.0
ENSACAG00000003168	ENSACAG00000003168	27.0	12.0	9.0	5.0
ENSACAG00000003169	ENSACAG00000003169	679.0	2665.0	3282.0	770.0
ENSACAG00000003170	TAF8	16.0	6.0	4.0	4.0
ENSACAG00000003171	ENSACAG00000003171	33.0	7.0	8.0	17.0
ENSACAG00000003172	ZCRB1	8.0	7.0	2.0	3.0
ENSACAG00000003173	ENSACAG00000003173	37.0	23.0	30.0	7.0
ENSACAG00000003174	PUM3	8.0	5.0	5.0	3.0
ENSACAG00000003176	ENSACAG00000003176	19.0	13.0	14.0	15.0
ENSACAG00000003177	ENSACAG00000003177	1.0	0.6	0.1	0.1
ENSACAG00000003178	ENSACAG00000003178	2.0	0.2	1.0	0.2
ENSACAG00000003184	NHEJ1	15.0	16.0	29.0	12.0
ENSACAG00000003185	ZBTB21	2.0	1.0	1.0	0.6
ENSACAG00000003186	ENSACAG00000003186	27.0	83.0	134.0	45.0
ENSACAG00000003187	CASQ2	7.0	540.0		67.0
ENSACAG00000003188	ENSACAG00000003188	0.6	0.5		1.0
ENSACAG00000003189	C2CD2	39.0	2.0	3.0	2.0
ENSACAG00000003190	ENSACAG00000003190	4.0		0.2	
ENSACAG00000003191	ID4	329.0	5.0	49.0	2.0
ENSACAG00000003192	ENSACAG00000003192	3.0	0.1	0.5	0.1
ENSACAG00000003193	ENSACAG00000003193	65.0	39.0	33.0	14.0
ENSACAG00000003194	ENSACAG00000003194	8.0		3.0	
ENSACAG00000003195	C11orf91	1.0			
ENSACAG00000003196	PAXBP1	15.0	12.0	9.0	5.0
ENSACAG00000003197	ENSACAG00000003197	24.0	3.0	2.0	1.0
ENSACAG00000003199	CAPN2	11.0	0.9	1.0	0.9
ENSACAG00000003200	ENSACAG00000003200	18.0	4.0	3.0	4.0
ENSACAG00000003201	ENSACAG00000003201	2.0	0.2	4.0	0.3
ENSACAG00000003202	ENSACAG00000003202	154.0	52.0	110.0	42.0
ENSACAG00000003203	RNF144B	6.0	1.0	2.0	1.0
ENSACAG00000003204	YAF2	24.0	14.0	7.0	7.0
ENSACAG00000003205	ENSACAG00000003205	18.0	14.0	20.0	13.0
ENSACAG00000003206	FREM3	1.0	0.5	0.8	0.7
ENSACAG00000003208	ENSACAG00000003208	20.0	4.0	4.0	2.0
ENSACAG00000003209	ENSACAG00000003209	17.0	9.0	5.0	9.0
ENSACAG00000003210	ENSACAG00000003210	0.2	0.2	6.0	0.2
ENSACAG00000003211	ENSACAG00000003211	6.0	12.0		
ENSACAG00000003212	ENSACAG00000003212	14.0	12.0	7.0	9.0
ENSACAG00000003213	SMOC2	9.0	3.0	0.8	0.6
ENSACAG00000003214	ENSACAG00000003214	58.0	30.0	46.0	19.0
ENSACAG00000003215	ENSACAG00000003215	20.0	6.0	5.0	0.9
ENSACAG00000003216	ENSACAG00000003216	13.0	10.0	4.0	7.0
ENSACAG00000003217	ENSACAG00000003217	22.0	10.0	7.0	5.0
ENSACAG00000003220	ENSACAG00000003220	188.0	67.0	77.0	46.0
ENSACAG00000003221	LRP1B	5.0			
ENSACAG00000003222	ENSACAG00000003222	6.0	5.0	11.0	0.2
ENSACAG00000003223	ENSACAG00000003223	3.0	0.1	1.0	0.2
ENSACAG00000003225	ENSACAG00000003225	0.1	0.4	0.3	2.0
ENSACAG00000003227	ENSACAG00000003227	6.0	2.0	3.0	2.0
ENSACAG00000003228	ENSACAG00000003228	4.0	0.5	1.0	0.5
ENSACAG00000003229	ENSACAG00000003229	7.0	0.1	4.0	0.1
ENSACAG00000003230	ENSACAG00000003230	1.0	0.1	0.8	0.3
ENSACAG00000003231	ADARB2	7.0		0.6	
ENSACAG00000003232	TBK1	23.0	7.0	3.0	3.0
ENSACAG00000003233	DEK	31.0	20.0	12.0	9.0
ENSACAG00000003234	ENSACAG00000003234	3.0	1.0	0.6	2.0
ENSACAG00000003235	ENSACAG00000003235	5.0	1.0	1.0	2.0
ENSACAG00000003237	ENSACAG00000003237	815.0	184.0	112.0	137.0
ENSACAG00000003238	ENSACAG00000003238	0.3	1.0	11.0	0.7
ENSACAG00000003239	ENSACAG00000003239	30.0	7.0	6.0	10.0
ENSACAG00000003240	ENSACAG00000003240	36.0	18.0	37.0	9.0
ENSACAG00000003242	ENSACAG00000003242	4.0	7.0	32.0	8.0
ENSACAG00000003243	ENSACAG00000003243	86.0	27.0	15.0	64.0
ENSACAG00000003244	ENSACAG00000003244	2.0	0.3	1.0	0.9
ENSACAG00000003246	ENSACAG00000003246	141.0	6.0	1.0	7.0
ENSACAG00000003248	ENSACAG00000003248	0.9	0.1	9.0	0.1
ENSACAG00000003249	C21orf62	2.0	3.0	17.0	2.0
ENSACAG00000003250	ENSACAG00000003250	5.0	6.0	4.0	3.0
ENSACAG00000003251	ENSACAG00000003251	0.6	0.8	0.1	0.8
ENSACAG00000003252	ENSACAG00000003252	59.0	40.0	49.0	32.0
ENSACAG00000003254	ENSACAG00000003254	40.0	14.0	5.0	3.0
ENSACAG00000003255	ENSACAG00000003255	371.0	182.0	69.0	1197.0
ENSACAG00000003256	ENSACAG00000003256	10.0	8.0	28.0	6.0
ENSACAG00000003258	ENSACAG00000003258	2.0		0.7	
