# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-GEOD-62778
# Selected columns: 10 (all)
# Timestamp: Fri, 07-Dec-2018 22:18:08
Gene ID	Gene Name	aleurone	basal endosperm transfer layer	central starchy endosperm	conducting zone	plant embryo	plant embryo-surrounding region	nucellus	pericarp	placento-chalazal region	vascular region of the pedicel
Zm00001d005675	empty pericarp 2	46.0	16.0	50.0	53.0	48.0	25.0	30.0	36.0	42.0	55.0
Zm00001d005678	Zm00001d005678	0.4	0.6			0.6	0.2			2.0	
Zm00001d005679	Zm00001d005679	2.0	2.0	6.0	12.0	1.0	5.0	3.0	2.0	2.0	2.0
Zm00001d005680	Zm00001d005680	2.0		0.4	0.8	0.7	2.0		5.0	2.0	5.0
Zm00001d005681	Zm00001d005681	0.6	2.0	5.0	5.0	4.0	5.0	7.0	5.0	9.0	3.0
Zm00001d005682	Zm00001d005682						0.5				0.8
Zm00001d005684	Zm00001d005684	13.0	1.0	3.0	0.9	8.0	2.0	29.0	16.0		3.0
Zm00001d005685	Zm00001d005685						0.3			3.0	
Zm00001d005686	Zm00001d005686	2.0	0.8			1.0	1.0	8.0	11.0		3.0
Zm00001d005687	trehalose-6-phosphate synthase5	6.0	3.0	4.0	5.0	15.0	3.0	0.2	10.0		2.0
Zm00001d005692	Homeobox-transcription factor 34										2.0
Zm00001d005694	plastid redox insensitive2	20.0	9.0	18.0	19.0	102.0	14.0	14.0	59.0	31.0	136.0
Zm00001d005695	Zm00001d005695	322.0	86.0	224.0	269.0	139.0	110.0	111.0	119.0	191.0	188.0
Zm00001d005696	Zm00001d005696	45.0	1.0	7.0	4.0	45.0	4.0	18.0	9.0	1.0	8.0
Zm00001d005698	Zm00001d005698	3.0		2.0	1.0		0.6			45.0	16.0
Zm00001d005699	Zm00001d005699	1.0	0.4		0.2	1.0	2.0	0.7	3.0		2.0
Zm00001d005700	Zm00001d005700								2.0		
Zm00001d005705	Zm00001d005705	42.0	2.0	6.0	6.0	45.0	4.0	25.0	23.0	4.0	8.0
Zm00001d005707	Zm00001d005707	39.0	11.0	26.0	28.0	45.0	18.0	35.0	27.0	7.0	24.0
Zm00001d005708	Zm00001d005708	8.0	2.0	3.0	5.0	8.0	2.0	16.0	11.0	8.0	18.0
Zm00001d005710	Zm00001d005710							3.0			
Zm00001d005711	Zm00001d005711	10.0	6.0	6.0	3.0	13.0	7.0	27.0	11.0	4.0	13.0
Zm00001d005712	Zm00001d005712	8.0	6.0	5.0	8.0		6.0				
Zm00001d005713	Zm00001d005713	22.0	10.0	24.0	31.0	34.0	21.0	105.0	69.0	35.0	42.0
Zm00001d005714	Zm00001d005714		0.8		0.7				1.0		1.0
Zm00001d005715	Zm00001d005715	0.4		0.2		0.6					
Zm00001d005716	Zm00001d005716	6.0	1.0	2.0	0.3	5.0	0.3	1.0	18.0	4.0	9.0
Zm00001d005717	Zm00001d005717	2.0	1.0							6.0	
Zm00001d005722	Zm00001d005722									2.0	
Zm00001d005724	Zm00001d005724		2.0	1.0	3.0		0.8			1.0	4.0
Zm00001d005726	ZIM-transcription factor 15	14.0	8.0	3.0	8.0	20.0	2.0	10.0	65.0	40.0	71.0
Zm00001d005727	Zm00001d005727	13.0	5.0	11.0	12.0	8.0	5.0	111.0	18.0	7.0	38.0
Zm00001d005732	Zm00001d005732	28.0	10.0	21.0	20.0	29.0	12.0	10.0	40.0	25.0	29.0
Zm00001d005733	Zm00001d005733		1.0	0.5			0.5				18.0
Zm00001d005735	Zm00001d005735		0.8		0.2		0.4	0.9	4.0	3.0	1.0
Zm00001d005736	Zm00001d005736	4.0	2.0	4.0	3.0	10.0	3.0	26.0	29.0	11.0	32.0
Zm00001d005740	bHLH-transcription factor 138					13.0					
Zm00001d005742	Zm00001d005742	5.0	0.5		0.7	27.0	0.2	0.7	2.0	1.0	0.8
Zm00001d005743	Zm00001d005743	0.5	0.3		0.6	32.0	1.0	0.8			1.0
Zm00001d005747	Zm00001d005747			0.9						2.0	
Zm00001d005748	Zm00001d005748	0.8		0.2	0.5		0.2		5.0	2.0	
Zm00001d005751	Zm00001d005751	11.0	10.0	25.0	16.0	12.0	9.0	94.0	66.0	89.0	25.0
Zm00001d005752	Zm00001d005752	1.0		0.9	0.4		2.0	34.0	17.0	10.0	1.0
Zm00001d005754	Zm00001d005754	11.0	7.0	6.0	13.0	15.0	9.0	11.0	15.0	7.0	9.0
Zm00001d005756	Zm00001d005756	33.0	16.0	24.0	26.0	27.0	22.0	16.0	42.0	13.0	26.0
Zm00001d005757	ZF-HD-transcription factor 20					2.0	0.5		6.0		1.0
Zm00001d005758	Zm00001d005758				0.2		0.1	0.3			
Zm00001d005760	MYB-transcription factor 35					6.0	0.3		4.0		
Zm00001d005762	Zm00001d005762	11.0	1.0	3.0	3.0	22.0	2.0	9.0	20.0	10.0	24.0
Zm00001d005763	TCP-transcription factor 37										3.0
Zm00001d005764	Zm00001d005764	3.0			0.7	3.0	0.6	0.3	4.0	1.0	18.0
Zm00001d005765	Zm00001d005765	13.0	6.0	13.0	11.0	11.0	9.0	8.0	8.0	3.0	15.0
Zm00001d005766	Zm00001d005766		0.8	0.8			2.0	2.0	10.0	12.0	18.0
Zm00001d005769	Zm00001d005769					7.0		0.4	0.5	0.3	1.0
Zm00001d005772	Zm00001d005772	0.7	1.0	6.0	4.0	10.0	1.0	55.0	26.0		6.0
Zm00001d005773	Zm00001d005773				1.0	0.7					
Zm00001d005775	Zm00001d005775										3.0
Zm00001d005776	Zm00001d005776	2.0	1.0	1.0	0.5	4.0	0.7	0.2	4.0	0.4	2.0
Zm00001d005777	Zm00001d005777		1.0	1.0	1.0		2.0				
Zm00001d005779	Zm00001d005779	14.0	7.0	4.0	7.0	33.0	25.0	25.0	55.0	3.0	14.0
Zm00001d005782	Zm00001d005782						0.6				
Zm00001d005783	Zm00001d005783	4.0	3.0	4.0	3.0	10.0	2.0	0.3	5.0	0.2	3.0
Zm00001d005785	Zm00001d005785	3.0	4.0	2.0	3.0	7.0	3.0	7.0	6.0	2.0	4.0
Zm00001d005789	histone 2B3	251.0	12.0	48.0	2.0	142.0	13.0	4.0	19.0	42.0	60.0
Zm00001d005790	Zm00001d005790						0.9	2.0	9.0	11.0	8.0
Zm00001d005791	H4C7	1088.0	122.0	1164.0	418.0	953.0	176.0	114.0	160.0	89.0	128.0
Zm00001d005793	mucronate1	3.0		97.0	5.0					3.0	
Zm00001d005794	ARID-transcription factor 2	40.0	20.0	36.0	34.0	61.0	36.0	99.0	64.0	62.0	86.0
Zm00001d005795	Zm00001d005795	11.0	6.0	9.0	10.0	16.0	9.0	34.0	35.0	4.0	64.0
Zm00001d005798	AP2-EREBP-transcription factor 202	11.0	3.0	7.0	6.0	34.0	18.0	62.0	69.0	108.0	5.0
Zm00001d005802	Zm00001d005802		0.9						3.0	8.0	5.0
Zm00001d005803	Zm00001d005803								2.0		
Zm00001d005805	Zm00001d005805	0.7	0.7	0.2	0.4		0.5				
Zm00001d005806	Zm00001d005806	32.0	35.0	10.0	22.0		30.0		3.0		3.0
Zm00001d005808	Zm00001d005808	14.0	6.0	8.0	7.0	7.0	14.0	14.0	60.0	8.0	16.0
Zm00001d005812	Zm00001d005812	20.0	4.0	10.0	10.0	25.0	6.0	11.0	18.0	4.0	12.0
Zm00001d005813	ZIM-transcription factor 13					0.5	0.3		18.0		2.0
Zm00001d005814	Zm00001d005814		0.1		0.3			0.6	0.7		1.0
Zm00001d005815	Zm00001d005815	1.0	3.0	1.0	2.0	3.0	2.0	0.9	6.0	3.0	1.0
Zm00001d005816	Zm00001d005816	0.1	0.3	0.2	1.0	1.0	1.0	27.0	18.0	0.4	
Zm00001d005817	Zm00001d005817	18.0	3.0	37.0	24.0	49.0	12.0	23.0	66.0	0.3	8.0
Zm00001d005818	Zm00001d005818	69.0	27.0	56.0	61.0	60.0	53.0	72.0	157.0	147.0	64.0
Zm00001d005819	Zm00001d005819	8.0	9.0	2.0	14.0		10.0	71.0	32.0	128.0	11.0
Zm00001d005821	Zm00001d005821								1.0		
Zm00001d005822	cytochrome P450 12								19.0		1.0
Zm00001d005823	Zm00001d005823	2.0							12.0	2.0	7.0
Zm00001d005824	Zm00001d005824	6.0	0.4	2.0	1.0	18.0	1.0	1.0	12.0	2.0	
Zm00001d005826	Zm00001d005826	2.0	5.0	4.0	2.0	2.0	1.0	77.0	17.0	8.0	16.0
Zm00001d005828	Zm00001d005828	6.0	5.0	4.0	4.0	6.0	18.0	22.0	18.0	7.0	10.0
Zm00001d005831	Zm00001d005831	17.0	12.0	14.0	17.0	34.0	12.0	11.0	31.0	3.0	5.0
Zm00001d005832	Zm00001d005832		0.1		0.1		0.1				
Zm00001d005833	Zm00001d005833	18.0	4.0	6.0	4.0	13.0	3.0	15.0	15.0	0.6	4.0
Zm00001d005834	Zm00001d005834	18.0	7.0	18.0	13.0	10.0	5.0	35.0	2.0	7.0	10.0
Zm00001d005837	Zm00001d005837								2.0		
Zm00001d005839	Zm00001d005839		0.2		0.2						
Zm00001d005840	Zm00001d005840				0.1		0.1	0.2			
Zm00001d005842	Zm00001d005842										0.7
Zm00001d005843	HSF-transcription factor 2					1.0					
Zm00001d005846	Zm00001d005846	14.0	0.2	7.0	8.0	29.0	2.0	4.0	13.0		5.0
Zm00001d005847	Zm00001d005847	10.0	12.0	16.0	16.0	11.0	48.0	39.0	39.0	30.0	83.0
Zm00001d005848	Zm00001d005848	10.0	5.0	14.0	8.0	20.0	24.0	7.0	24.0	16.0	31.0
Zm00001d005849	Zm00001d005849	2.0	3.0	12.0	5.0	8.0	3.0	5.0	3.0		7.0
Zm00001d005851	Zm00001d005851	10.0	3.0	3.0	6.0	16.0	2.0	5.0	4.0	19.0	9.0
Zm00001d005852	Zm00001d005852	18.0	2.0	10.0	18.0	15.0	4.0	21.0	35.0	13.0	24.0
Zm00001d005856	Zm00001d005856	17.0	4.0	12.0	11.0	23.0	5.0	4.0	19.0	25.0	13.0
Zm00001d005858	Zm00001d005858	30.0	17.0	26.0	46.0	24.0	25.0	74.0	39.0	57.0	64.0
Zm00001d005859	Zm00001d005859		5.0				4.0				
Zm00001d005860	Zm00001d005860					19.0					
Zm00001d005863	Zm00001d005863	3.0		5.0	0.6	10.0	0.4			5.0	
Zm00001d005864	Zm00001d005864	50.0	28.0	32.0	21.0	31.0	22.0	86.0	31.0	57.0	31.0
Zm00001d005865	GeBP-transcription factor 8	11.0	13.0	12.0	16.0	9.0	19.0	55.0	20.0	46.0	19.0
Zm00001d005866	Zm00001d005866	44.0	34.0	54.0	54.0	26.0	41.0	5.0	32.0	11.0	6.0
Zm00001d005867	Zm00001d005867	47.0	2.0	22.0	16.0	1.0					
Zm00001d005869	Zm00001d005869						1.0				5.0
Zm00001d005871	Zm00001d005871	0.8									
Zm00001d005873	Zm00001d005873								20.0	101.0	2.0
Zm00001d005874	Zm00001d005874	2.0		0.3	2.0		1.0		0.9		
Zm00001d005875	Homeobox-transcription factor 59					4.0	2.0				
Zm00001d005879	Zm00001d005879	6.0									
Zm00001d005881	Zm00001d005881	17.0	0.6	15.0	6.0	23.0	0.8	2.0	13.0	13.0	4.0
Zm00001d005882	Zm00001d005882				0.3			0.8		0.5	
Zm00001d005884	bZIP-transcription factor 123	6.0		0.9	0.3	6.0	2.0	5.0	43.0	13.0	27.0
Zm00001d005885	Zm00001d005885				0.4		0.2				
Zm00001d005888	HSF-transcription factor 1	8.0		2.0	0.6		0.3	21.0	2.0	5.0	60.0
Zm00001d005892	AP2-EREBP-transcription factor 211				0.6			3.0			
Zm00001d005893	Zm00001d005893		0.1		0.1	0.3	0.1	0.3	0.2	0.2	0.2
Zm00001d005894	Zm00001d005894	10.0	2.0	8.0	5.0	1.0	2.0	6.0	16.0	16.0	0.5
Zm00001d005895	Zm00001d005895										29.0
Zm00001d005896	Zm00001d005896	12.0	0.7	7.0	3.0	2.0	5.0	4.0			4.0
Zm00001d005897	Zm00001d005897					23.0	0.1		7.0		
Zm00001d005898	Zm00001d005898	4.0		4.0		4.0	4.0		9.0	2.0	3.0
Zm00001d005899	Zm00001d005899	12.0	1.0	5.0	4.0	11.0	5.0	9.0	4.0	8.0	11.0
Zm00001d005901	Zm00001d005901						0.7				1.0
Zm00001d005902	Zm00001d005902	115.0	52.0	78.0	73.0	67.0	72.0	121.0	93.0	85.0	72.0
Zm00001d005905	Zm00001d005905	4.0		5.0	7.0	6.0	179.0	3.0	11.0		
Zm00001d005908	Zm00001d005908	4.0	1.0	0.2	0.4	0.8	5.0		1.0		1.0
Zm00001d005909	Zm00001d005909	3.0	1.0	0.8	1.0	3.0	4.0		10.0	6.0	5.0
Zm00001d005910	Zm00001d005910	2.0		2.0	2.0	1.0	0.9				
Zm00001d005912	Zm00001d005912	7.0	0.4	3.0	2.0	3.0		0.6			1.0
Zm00001d005915	Zm00001d005915				0.3						
Zm00001d005917	Zm00001d005917		1.0					2.0	2.0		0.8
Zm00001d005920	carbonic anhydrase4	15.0	0.6	11.0	4.0	18.0	2.0	8.0	16.0	9.0	12.0
Zm00001d005922	Zm00001d005922	2.0							3.0		
Zm00001d005924	Zm00001d005924	18.0	15.0	45.0	54.0	5.0	29.0	108.0	62.0	8.0	33.0
Zm00001d005925	Zm00001d005925	169.0	11.0	57.0	37.0	179.0	30.0	27.0	109.0	70.0	141.0
Zm00001d005926	Zm00001d005926	79.0	4.0	7.0	3.0	105.0	5.0	2.0	37.0	22.0	26.0
Zm00001d005928	Zm00001d005928	8.0				7.0	2.0		3.0		
Zm00001d005931	ZF-HD-transcription factor 16	0.5									
Zm00001d005932	Zm00001d005932		0.3		0.2		0.8		1.0		
Zm00001d005933	Zm00001d005933							3.0	1.0		
Zm00001d005934	Zm00001d005934		0.9	0.5		1.0		1.0	97.0		9.0
Zm00001d005939	bHLH-transcription factor 33					20.0					
Zm00001d005940	Zm00001d005940	4.0	2.0	2.0	2.0		4.0	2.0		3.0	1.0
Zm00001d005941	Zm00001d005941	3.0	1.0	2.0	0.4	6.0	0.7	6.0	5.0	0.6	5.0
Zm00001d005944	Zm00001d005944	17.0	5.0	29.0	25.0	27.0	5.0	86.0	49.0	18.0	24.0
Zm00001d005945	Zm00001d005945	6.0	5.0	2.0	10.0	9.0		3.0	9.0		
Zm00001d005946	Zm00001d005946					2.0					
Zm00001d005948	Zm00001d005948	4.0	4.0	3.0	4.0	4.0	5.0	15.0	6.0	10.0	5.0
Zm00001d005949	Zm00001d005949	2.0		8.0	4.0	9.0	2.0				
Zm00001d005950	dicarboxylic acid transporter1	6.0	20.0	14.0	21.0	13.0	11.0	21.0	30.0	13.0	14.0
Zm00001d005951	Homeobox-transcription factor 54			2.0	4.0	0.3	0.2	12.0	8.0	0.3	
Zm00001d005952	Zm00001d005952	27.0	7.0	24.0	15.0	9.0	16.0	0.7	8.0	0.5	6.0
Zm00001d005957	Zm00001d005957	1.0		0.3	0.4	1.0	0.7				
Zm00001d005958	methyl binding domain117	25.0	11.0	29.0	32.0	38.0	22.0	109.0	35.0	29.0	24.0
Zm00001d005959	empty pericarp6	3.0	0.4	3.0	1.0	7.0	2.0		8.0	2.0	1.0
Zm00001d005961	Zm00001d005961	7.0		1.0		23.0			7.0		9.0
Zm00001d005964	bHLH-transcription factor 151								1.0		
Zm00001d005966	Zm00001d005966	14.0	15.0	36.0	43.0	24.0	21.0	136.0	54.0	67.0	65.0
Zm00001d005969	bHLH-transcription factor 157	6.0	2.0	9.0	4.0	9.0	4.0	10.0	33.0	28.0	22.0
Zm00001d005970	DNA binding with one finger2						0.4		9.0		7.0
Zm00001d005971	Zm00001d005971								2.0		8.0
Zm00001d005972	Zm00001d005972	8.0	4.0	5.0	7.0	19.0	5.0	22.0	18.0	8.0	15.0
Zm00001d005974	Zm00001d005974				1.0		0.3				
Zm00001d005975	Zm00001d005975	27.0	11.0	18.0	18.0	39.0	11.0	26.0	47.0	17.0	27.0
Zm00001d005976	Zm00001d005976	43.0	12.0	32.0	26.0	67.0	20.0	1.0	70.0		3.0
Zm00001d005978	xerico1	20.0	6.0	5.0	6.0	4.0	13.0		47.0	18.0	18.0
Zm00001d005980	Zm00001d005980	14.0	6.0	4.0	6.0	29.0	16.0	15.0	23.0	7.0	20.0
Zm00001d005981	Zm00001d005981	33.0	20.0	49.0	45.0	26.0	30.0	10.0	8.0		1.0
Zm00001d005983	Zm00001d005983	8.0	1.0	6.0	6.0	35.0	3.0	29.0	15.0	3.0	41.0
Zm00001d005984	Zm00001d005984			1.0			0.6	4.0			
Zm00001d005986	Zm00001d005986					28.0			6.0	1.0	
Zm00001d005989	Zm00001d005989		2.0			10.0		85.0			10.0
Zm00001d005990	Zm00001d005990							0.9			
Zm00001d005991	Zm00001d005991							0.8			
Zm00001d005993	CCAAT-HAP5-transcription factor 512										4.0
Zm00001d005995	Zm00001d005995	1.0	4.0	1.0	1.0	14.0	0.8	0.3	10.0	7.0	0.3
Zm00001d005996	Zm00001d005996		0.5					25.0		2.0	7.0
Zm00001d005997	Zm00001d005997	31.0	20.0	40.0	58.0	23.0	15.0	5.0	21.0	25.0	27.0
Zm00001d005998	Zm00001d005998	10.0	1.0	4.0	3.0	8.0	3.0	4.0	19.0	23.0	29.0
Zm00001d006001	WRKY-transcription factor 71	18.0	14.0	2.0	4.0	9.0	26.0	3.0	38.0	12.0	44.0
Zm00001d006002	Zm00001d006002	9.0	6.0	4.0	3.0	5.0	1.0	5.0	34.0		
Zm00001d006008	Zm00001d006008	1027.0	84.0	958.0	616.0	711.0	129.0	320.0	344.0	539.0	290.0
Zm00001d006010	Zm00001d006010	2.0	1.0		0.4	0.7	0.3		2.0	66.0	435.0
Zm00001d006011	Zm00001d006011	51.0	29.0	42.0	43.0	15.0	45.0	29.0	48.0	12.0	27.0
Zm00001d006013	Zm00001d006013						1.0		3.0		
Zm00001d006014	Zm00001d006014		0.5	2.0	0.8		1.0				
Zm00001d006016	Zm00001d006016	2.0			2.0		0.9		22.0		5.0
Zm00001d006017	Zm00001d006017	0.4									
Zm00001d006019	Zm00001d006019	16.0	6.0	9.0	8.0	16.0	7.0	104.0	151.0	73.0	92.0
Zm00001d006022	bHLH-transcription factor 6			0.6		0.7		0.6			3.0
Zm00001d006024	Zm00001d006024	29.0	1.0	17.0	10.0	20.0	3.0	3.0	13.0		7.0
Zm00001d006025	Zm00001d006025					1.0					0.6
Zm00001d006026	Zm00001d006026	9.0	11.0	29.0	21.0	14.0	18.0		8.0		5.0
Zm00001d006027	bZIP-transcription factor 85	2.0	23.0			0.9	0.1			14.0	
Zm00001d006028	SBP-transcription factor 23	0.4		0.2					2.0		0.8
Zm00001d006029	Zm00001d006029		3.0	11.0	12.0	9.0	9.0	5.0		48.0	
Zm00001d006030	Zm00001d006030	17.0	6.0	13.0	14.0	21.0	11.0	16.0	23.0	16.0	25.0
Zm00001d006031	Zm00001d006031	10.0	6.0	13.0	10.0	14.0	6.0	4.0	6.0	16.0	5.0
Zm00001d006032	Zm00001d006032			2.0	1.0						
Zm00001d006033	Zm00001d006033	1.0	1.0	1.0	1.0	2.0	2.0	2.0	4.0	0.5	2.0
Zm00001d006034	Zm00001d006034	0.2		0.1	1.0	3.0	0.3	0.5	9.0	10.0	16.0
Zm00001d006036	Zm00001d006036	311.0	29.0	535.0	296.0	244.0	61.0	47.0	104.0	51.0	148.0
Zm00001d006040	Zm00001d006040	24.0	9.0	24.0	30.0	10.0	20.0	24.0	35.0	13.0	14.0
Zm00001d006041	Zm00001d006041	60.0	84.0	137.0	160.0	60.0	93.0	138.0	183.0	92.0	190.0
Zm00001d006043	Zm00001d006043							6.0	7.0	9.0	6.0
Zm00001d006044	Zm00001d006044							5.0		10.0	
Zm00001d006046	methyl binding domain111	8.0	3.0	12.0	10.0	29.0	5.0	42.0	33.0	42.0	35.0
Zm00001d006047	Zm00001d006047			0.4					8.0		4.0
Zm00001d006049	Zm00001d006049	101.0	77.0	103.0	104.0	100.0	103.0	41.0	152.0	119.0	128.0
Zm00001d006050	Zm00001d006050				1.0						
Zm00001d006051	Zm00001d006051	21.0	28.0	25.0	22.0	8.0	7.0	11.0	21.0		12.0
Zm00001d006052	Zm00001d006052	17.0	5.0	26.0	22.0	37.0	9.0	8.0	28.0	10.0	18.0
Zm00001d006053	NAC-transcription factor 24										2.0
Zm00001d006054	Zm00001d006054							62.0			
Zm00001d006055	Zm00001d006055	131.0	27.0	135.0	78.0	27.0	28.0	7.0	33.0	15.0	15.0
Zm00001d006056	Zm00001d006056	0.7		0.1	0.2	0.3	0.3	0.5			0.6
Zm00001d006057	Zm00001d006057	54.0	91.0	23.0	73.0	32.0	62.0	21.0	126.0	7.0	5.0
Zm00001d006059	Zm00001d006059	1.0	2.0			2.0	2.0	7.0	15.0	20.0	24.0
Zm00001d006060	Zm00001d006060		2.0	1.0			1.0	9.0	24.0		20.0
Zm00001d006061	Zm00001d006061	21.0	5.0	25.0	16.0	26.0	14.0	8.0	26.0	6.0	30.0
Zm00001d006063	Zm00001d006063			0.6	2.0	7.0	0.9				
Zm00001d006064	Zm00001d006064	129.0	48.0	232.0	163.0	89.0	52.0	4.0	19.0	24.0	18.0
Zm00001d006065	bHLH-transcription factor 121	4.0	14.0	3.0	2.0	11.0	15.0	77.0	32.0	18.0	5.0
Zm00001d006066	Zm00001d006066	5.0	0.3	0.5	2.0	13.0	3.0		3.0		
Zm00001d006067	Zm00001d006067	1.0				2.0	1.0			7.0	
Zm00001d006068	Zm00001d006068		0.6	0.4			0.5				
Zm00001d006070	Zm00001d006070	32.0	16.0	15.0	7.0	28.0	23.0	112.0	32.0	21.0	54.0
Zm00001d006071	Zm00001d006071	14.0	3.0	10.0	9.0	9.0	4.0	13.0	18.0	3.0	14.0
Zm00001d006072	Zm00001d006072	0.8	0.1	0.1	0.2		0.6	2.0	0.6		3.0
Zm00001d006073	Zm00001d006073	1.0	0.2	0.2	0.7	0.7	0.6	2.0	4.0		0.9
Zm00001d006078	Zm00001d006078						0.7				
Zm00001d006079	Zm00001d006079	15.0	12.0	18.0	25.0	18.0	13.0	8.0	14.0	24.0	23.0
Zm00001d006080	Zm00001d006080	61.0	1.0	35.0	17.0	83.0	6.0	12.0	11.0	35.0	5.0
Zm00001d006082	PIN-formed protein11	0.3				0.7					16.0
Zm00001d006084	Zm00001d006084	37.0	8.0	21.0	20.0	47.0	14.0	39.0	31.0	7.0	28.0
Zm00001d006085	Zm00001d006085	39.0	15.0	40.0	43.0	40.0	22.0	51.0	42.0	25.0	66.0
Zm00001d006089	Zm00001d006089	6.0	3.0	9.0	12.0	7.0	3.0	62.0	43.0	10.0	37.0
Zm00001d006090	Zm00001d006090	14.0	6.0	10.0	13.0	16.0	9.0	7.0	24.0	16.0	15.0
Zm00001d006091	SBP-transcription factor 5	0.1		0.6			0.3		4.0		
Zm00001d006094	Zea mays MADS27	0.3	0.8		0.5		0.8	164.0	412.0	412.0	333.0
Zm00001d006096	Zm00001d006096	10.0	10.0	18.0	16.0	9.0	14.0	70.0	54.0	129.0	36.0
Zm00001d006097	Zm00001d006097	0.3	0.2		0.2	0.7	0.9	5.0	28.0	6.0	3.0
Zm00001d006098	Zm00001d006098	9.0	12.0	4.0	4.0	21.0	6.0	34.0	26.0	27.0	20.0
Zm00001d006099	Zm00001d006099	16.0	12.0	5.0	5.0	19.0	7.0	40.0	18.0	16.0	26.0
Zm00001d006100	Zm00001d006100	931.0	183.0	1291.0	752.0	825.0	298.0	104.0	224.0	204.0	284.0
Zm00001d006101	Zm00001d006101									2.0	
Zm00001d006102	Zm00001d006102	12.0	3.0	6.0	6.0	11.0	11.0	14.0	20.0	7.0	4.0
Zm00001d006103	Zm00001d006103	10.0				40.0	2.0	1.0	38.0	10.0	
Zm00001d006106	NAC-transcription factor 35					0.8		2.0	1.0	13.0	
Zm00001d006107	pyruvate dehydrogenase3	123.0	34.0	117.0	127.0	49.0	32.0	54.0	50.0	43.0	57.0
Zm00001d006108	Zm00001d006108	28.0	13.0	21.0	22.0	28.0	24.0	14.0	51.0	5.0	52.0
Zm00001d006109	Zm00001d006109	35.0	15.0	25.0	72.0	11.0	23.0	6.0	73.0	22.0	38.0
Zm00001d006110	bHLH-transcription factor 23					0.8					
Zm00001d006111	Zm00001d006111								2.0		6.0
Zm00001d006112	Zm00001d006112	17.0	10.0	24.0	25.0	21.0	19.0	73.0	86.0	66.0	72.0
Zm00001d006113	Zm00001d006113	94.0	17.0	88.0	56.0	91.0	42.0	46.0	47.0	16.0	77.0
Zm00001d006115	Zm00001d006115	8.0	0.3	0.6	3.0	2.0			1.0		
Zm00001d006116	phosphatidylethanolamine-binding protein18	12.0	2.0	4.0	6.0	19.0	3.0	3.0	11.0	31.0	23.0
Zm00001d006117	Zm00001d006117	0.1		0.1			0.1	31.0	3.0		0.3
Zm00001d006118	Zm00001d006118	14.0	10.0	20.0	21.0	17.0	13.0	34.0	12.0	5.0	18.0
Zm00001d006119	Zm00001d006119	57.0	21.0	51.0	39.0	28.0	34.0	18.0	36.0	14.0	49.0
Zm00001d006122	Zm00001d006122									0.9	
Zm00001d006124	Zm00001d006124	31.0	14.0	17.0	26.0	32.0	29.0	65.0	52.0	59.0	59.0
Zm00001d006125	Zm00001d006125	191.0	44.0	149.0	126.0	97.0	54.0	302.0	101.0	95.0	88.0
Zm00001d006126	Zm00001d006126	6.0	0.4		3.0	10.0	1.0		18.0	2.0	39.0
Zm00001d006127	bZIP-transcription factor 65	5.0	1.0	4.0	8.0	19.0	7.0	17.0	30.0	10.0	31.0
Zm00001d006128	Zm00001d006128	37.0	9.0	25.0	19.0	35.0	15.0	11.0	35.0	11.0	32.0
Zm00001d006130	Zm00001d006130	0.8	0.1	0.4	0.2	9.0	2.0	0.4	3.0	6.0	0.9
Zm00001d006131	Zm00001d006131	22.0	26.0	28.0	34.0	34.0	36.0	150.0	69.0	44.0	95.0
Zm00001d006132	Zm00001d006132	1.0		6.0	6.0	12.0	3.0		4.0		3.0
Zm00001d006133	Zm00001d006133	5.0				15.0	2.0		1.0		8.0
Zm00001d006134	MYB-related-transcription factor 116	1.0									
Zm00001d006136	Zm00001d006136							14.0			2.0
Zm00001d006142	Zm00001d006142								0.3		
Zm00001d006143	Zm00001d006143			0.2	0.1		0.1		0.8		
Zm00001d006148	Zm00001d006148	0.8	0.1	0.6	0.3	0.3	0.5			0.1	0.5
Zm00001d006153	Zm00001d006153	14.0	6.0	5.0	9.0	4.0	5.0	12.0	20.0	16.0	47.0
Zm00001d006154	Zm00001d006154	6.0	0.7	4.0		5.0	0.7	9.0	5.0		1.0
Zm00001d006157	bZIP-transcription factor 46	4.0	7.0	38.0	32.0		6.0	5.0	2.0		
Zm00001d006158	Zm00001d006158							1.0	25.0	0.7	63.0
Zm00001d006159	Zm00001d006159	23.0	2.0	7.0	6.0	34.0	3.0	1.0	28.0		40.0
Zm00001d006160	Zm00001d006160	161.0	19.0	212.0	160.0	158.0	30.0	26.0	67.0	18.0	38.0
Zm00001d006162	Zm00001d006162	3.0	2.0	2.0	4.0	2.0	2.0	7.0	1.0	2.0	1.0
Zm00001d006165	TCP-transcription factor 19	3.0	0.6	1.0	2.0	3.0	1.0				3.0
Zm00001d006166	Zm00001d006166	124.0	20.0	49.0	19.0	107.0	20.0	78.0	135.0	58.0	52.0
Zm00001d006167	Zm00001d006167	27.0	8.0	57.0	49.0	35.0	12.0	44.0	43.0	13.0	35.0
Zm00001d006168	Zm00001d006168	12.0	7.0	11.0	13.0	13.0	17.0	6.0	14.0	2.0	7.0
Zm00001d006169	DRE-binding protein3			0.4							
Zm00001d006170	AP2-EREBP-transcription factor 65	4.0									
Zm00001d006171	Zm00001d006171	0.4		2.0	0.8	0.6	0.1				
